Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jay Cutler,7,,QB,5200,MIA,TEN,20.8,TEN by 0,21%,5%,49%,35.0,35.0,30.9,2.3,5.8,1.3,1.3,1.5,0.3,3.3,0.0,0.0,0.0,0.0,0.0,60,10.6,10.6,10.6,6.7,14.6,15.4,3.0,7.5,1.4
Aaron Jones,7,,RB,5100,GB,@DAL,24.8,DAL by 2.5,2%,0%,26%,0.0,0.0,0.0,0.0,0.0,4.3,4.3,7.3,1.3,3.8,0.0,0.0,2.5,0.0,0.0,16,3.6,3.6,3.6,-2.7,9.9,9.7,1.9,23.4,4.6
Marshawn Lynch,7,,RB,5100,OAK,BAL,21.8,OAK by 3,-2%,19%,15%,0.0,0.0,0.0,0.0,0.0,9.0,11.3,13.0,1.5,3.4,1.3,1.5,1.4,0.0,4.7,27,5.6,6.7,6.7,1.6,11.9,11.7,2.3,12.3,2.4
Case Keenum,,,QB,5100,MIN,@CHI,22.3,MIN by 3.5,-3%,-20%,1%,33.3,33.3,0.4,2.3,7.5,2.0,2.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1,15.7,15.7,15.7,1.9,29.5,0.0,0.0,11.8,2.3
John Brown,2,,WR,5100,ARI,@PHI,19.5,PHI by 6,25%,-34%,38%,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.0,10.0,8.0,8.0,5.9,0.5,4.9,10,7.9,7.9,7.9,7.6,8.3,11.3,2.2,10.6,2.1
Sammy Watkins,0,,WR,5000,LAR,SEA,24.3,LAR by 2,-19%,25%,-13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.0,6.5,0.5,13.2,11,13.1,12.5,12.5,-0.6,25.7,11.8,2.4,0.0,0.0
Lamar Miller,3,,RB,5000,HOU,KC,21.5,KC by 2,9%,4%,-16%,0.0,0.0,0.0,0.0,0.0,17.0,17.0,13.0,1.8,3.8,3.0,2.8,2.6,0.3,10.9,26,16.0,14.9,14.9,5.3,24.6,11.4,2.3,10.9,2.2
Tyrod Taylor,2,,QB,5000,BUF,@CIN,18.0,CIN by 3,-27%,1%,-10%,23.7,24.8,31.0,3.3,7.5,7.7,7.8,5.3,0.5,3.8,0.0,0.0,0.0,0.0,0.0,65,13.6,15.1,15.1,10.8,19.5,16.7,3.3,9.9,2.0
Dalvin Cook,,O,RB,5000,MIN,@CHI,22.3,MIN by 3.5,-3%,-20%,-15%,0.0,0.0,0.0,0.0,0.0,17.3,18.5,0.0,2.5,4.8,3.7,4.0,0.0,0.8,5.6,0,16.6,17.4,17.4,8.9,25.8,0.0,0.0,0.0,0.0
Alfred Morris,,,RB,5000,DAL,GB,27.3,DAL by 2.5,-17%,4%,6%,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.3,1.5,12.8,0.0,0.0,0.7,0.0,0.0,8,3.9,3.9,3.9,-1.5,9.2,3.3,0.7,1.0,0.2
Jamaal Williams,2,,RB,5000,GB,@DAL,24.8,DAL by 2.5,2%,0%,26%,0.0,0.0,0.0,0.0,0.0,2.3,2.3,10.7,0.5,3.6,0.7,0.5,1.4,0.0,3.5,20,1.7,1.5,1.5,0.6,2.3,10.2,2.0,0.1,0.0
Danny Amendola,1,,WR,5000,NE,@TB,29.0,NE by 3.5,39%,-27%,13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,6.3,6.3,6.3,1.0,10.0,11,14.3,14.3,14.3,8.5,20.2,11.1,2.2,15.7,3.1
Martavis Bryant,3,,WR,5000,PIT,JAX,24.3,PIT by 7.5,-35%,55%,-45%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,7.0,5.7,5.8,6.2,0.5,8.0,10,10.5,8.8,8.8,1.8,15.7,12.7,2.5,8.4,1.7
J.J. Nelson,2,,WR,4900,ARI,@PHI,19.5,PHI by 6,25%,-34%,38%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.7,5.0,3.1,0.8,9.8,5,10.8,11.9,11.9,0.6,23.2,6.1,1.2,12.4,2.5
Mitchell Trubisky,1,,QB,4900,CHI,MIN,18.8,MIN by 3.5,9%,-33%,-6%,0.0,0.0,31.6,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,13.9,2.8,11.3,2.3
Duke Johnson Jr.,16,,RB,4900,CLE,NYJ,20.0,NYJ by 1.5,-14%,34%,8%,0.0,0.0,0.0,0.0,0.0,3.3,2.5,3.4,1.0,5.7,7.7,7.0,5.0,0.0,7.4,15,18.1,14.6,14.6,5.9,23.3,10.3,2.1,17.3,3.5
Jimmy Graham,2,,TE,4900,SEA,@LAR,22.3,LAR by 2,-5%,41%,-16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.5,5.7,1.0,5.5,10,8.5,7.3,7.3,1.4,13.2,11.1,2.3,15.7,3.2
James White,2,,RB,4900,NE,@TB,29.0,NE by 3.5,39%,-27%,-28%,0.0,0.0,0.0,0.0,0.0,2.7,4.5,2.7,1.5,4.1,7.0,6.5,4.2,0.5,6.7,11,12.3,11.6,11.6,5.5,17.8,10.1,2.1,13.0,2.7
EJ Manuel,1,,QB,4900,OAK,BAL,21.8,OAK by 3,-2%,19%,-20%,17.0,17.0,29.3,3.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,3.2,3.2,3.2,3.2,3.2,11.4,2.3,11.9,2.4
Corey Coleman,,,WR,4800,CLE,NYJ,20.0,NYJ by 1.5,-14%,34%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0,1.0,4.8,0,9.1,9.1,9.1,-1.1,19.3,0.0,0.0,0.0,0.0
Blake Bortles,1,,QB,4800,JAX,@PIT,16.8,PIT by 7.5,-32%,5%,-34%,33.3,30.3,33.2,5.0,6.0,3.7,3.5,2.9,1.0,7.0,0.0,0.0,0.0,0.0,0.0,60,17.6,15.8,15.8,7.8,23.7,15.1,3.1,3.7,0.8
Charles Clay,4,O,TE,4800,BUF,@CIN,18.0,CIN by 3,-27%,1%,-46%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,6.3,5.8,1.3,9.1,10,13.5,13.9,13.9,7.9,19.9,0.0,0.0,5.1,1.1
