"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR","TierRank"
"QB","Sean Mannion (7498709)","Sean Mannion",7498709,5000,"LA@Ari 04:25PM ET","LA","Sean","Mannion","Ari",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Jared Goff (7498710)","Jared Goff",7498710,5000,"LA@Ari 04:25PM ET","LA","Jared","Goff","Ari",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Kellen Clemens (7498712)","Kellen Clemens",7498712,5000,"NO@SD 04:25PM ET","SD","Kellen","Clemens","NO",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Luke McCown (7498714)","Luke McCown",7498714,5000,"NO@SD 04:25PM ET","NO","Luke","McCown","SD",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Mark Sanchez (7498716)","Mark Sanchez",7498716,5000,"Dal@SF 04:25PM ET","Dal","Mark","Sanchez","SF",0,1.8,0,1.8,0,0,1.29479257890215,1.16384208277325,1,0,0,0
"QB","Colin Kaepernick (7498717)","Colin Kaepernick",7498717,5000,"Dal@SF 04:25PM ET","SF","Colin","Kaepernick","Dal",0,1.4,0,1.4,0,0,1.00706089470167,0.905210508823638,1,0,0,0
"QB","Christian Ponder (7498718)","Christian Ponder",7498718,5000,"Dal@SF 04:25PM ET","SF","Christian","Ponder","Dal",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Blaine Gabbert (7498719)","Blaine Gabbert",7498719,5000,"Dal@SF 04:25PM ET","SF","Blaine","Gabbert","Dal",16.24,16.1,15.11,16.1,10,0.0103092783505155,15.2229629300678,13.7297157045759,1,13.5,0,0
"QB","Nick Foles (7498723)","Nick Foles",7498723,5000,"KC@Pit 08:30PM ET","KC","Nick","Foles","Pit",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Landry Jones (7498724)","Landry Jones",7498724,5000,"KC@Pit 08:30PM ET","Pit","Landry","Jones","KC",0,0,0,0,0,0,0,0,1,0,0,0
"QB","Zach Mettenberger (7498725)","Zach Mettenberger",7498725,5000,"KC@Pit 08:30PM ET","Pit","Zach","Mettenberger","KC",0,0,0,0,0,0,0,0,0,0,0,0
"QB","Tyler Bray (7498726)","Tyler Bray",7498726,5000,"KC@Pit 08:30PM ET","KC","Tyler","Bray","Pit",0,0,0,0,0,0,0,0,1,0,0,0
"RB","Thomas Rawls (7498747)","Thomas Rawls",7498747,4900,"Sea@NYJ 01:00PM ET","Sea","Thomas","Rawls","NYJ",0,0,0,0,7,0.0594059405940594,0,0,0,0,0,0
"RB","Latavius Murray (7498771)","Latavius Murray",7498771,4900,"Oak@Bal 01:00PM ET","Oak","Latavius","Murray","Bal",13.06,9.6,11.53,9.6,5,0.0731707317073171,9.83421929343721,8.87689427611694,1,4.4,0,7
"WR","Corey Coleman (7498854)","Corey Coleman",7498854,4800,"Cle@Was 01:00PM ET","Cle","Corey","Coleman","Was",0,0,0,0,4,0.118811881188119,0,0,0,0,1,0
"RB","Jonathan Stewart (7498762)","Jonathan Stewart",7498762,4800,"Car@Atl 01:00PM ET","Car","Jonathan","Stewart","Atl",0,0,0,0,8,0.036036036036036,0,0,0,0,0,0
"RB","Jeremy Langford (7498781)","Jeremy Langford",7498781,4800,"Det@Chi 01:00PM ET","Chi","Jeremy","Langford","Det",0,0,0,0,5,0.0952380952380952,0,0,0,0,0,0
"TE","Travis Kelce (7499044)","Travis Kelce",7499044,4800,"KC@Pit 08:30PM ET","KC","Travis","Kelce","Pit",15.25,14.7,12.25,14.7,2,0.181034482758621,13.9938980320048,12.6221285390667,1,13.3,0,1
"TE","Antonio Gates (7499029)","Antonio Gates",7499029,4600,"NO@SD 04:25PM ET","SD","Antonio","Gates","NO",0,0,0,0,5,0.0865384615384615,0,0,0,0,0,0
"RB","Tevin Coleman (7498766)","Tevin Coleman",7498766,4500,"Car@Atl 01:00PM ET","Atl","Tevin","Coleman","Car",10.53,10.2,11.27,10.2,4,0.106796116504854,9.6984732555922,8.74765684773389,1,6.3,0,7
