Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Jayson Tatum,,,SF/PF,6000,BOS,MIL,1,104,17,17,98,105,-4%,10,9,10,27,30,31,23.1,27.2,19.7,34.7,29.5,23.3,3.9,32.6,26.0,4.3
Jaylen Brown,1,,SG/SF,6000,BOS,MIL,1,104,20,14,98,105,-2%,9,11,12,32,32,32,26.0,28.3,21.5,35.1,31.0,25.4,4.2,23,19.3,3.2
Reggie Jackson,3,,PG,5900,DET,@SAS,1,99,26,20,97,101,-14%,13,10,12,27,27,28,25.4,28.8,21.1,36.6,28.0,25.3,4.3,33.8,38.0,6.4
DeMarre Carroll,5,,SF/PF,5900,BKN,@ATL,1,110,18,16,100,108,18%,13,12,11,32,32,30,29.4,29.3,22.4,36.3,31.0,27.9,4.7,27.8,29.0,4.9
Taj Gibson,5,,PF/C,5900,MIN,@MEM,0,102,14,15,97,104,3%,8,9,8,38,38,33,30.8,27.0,18.0,36.0,38.0,28.4,4.8,37.4,27.8,4.7
Gary Harris,7,,SG,5800,DEN,@DAL,1,104,18,16,98,106,-3%,15,14,12,37,35,34,30.6,27.7,21.6,33.8,35.5,29.1,5.0,43,37.8,6.5
Jeremy Lamb,2,,SG/SF,5800,CHA,ORL,2,113,23,18,103,108,9%,12,13,12,27,30,29,33.0,30.1,21.9,38.3,23.5,25.1,4.3,22.1,17.5,3.0
Kent Bazemore,3,,SG/SF,5700,ATL,BKN,1,111,21,14,105,108,9%,7,10,11,32,30,29,24.3,27.9,19.5,36.3,29.5,27.2,4.8,25.5,21.3,3.7
Rondae Hollis-Jefferson,4,,SF/PF,5700,BKN,@ATL,1,110,20,18,100,108,18%,11,11,10,26,27,28,27.1,27.2,17.6,36.8,29.5,30.3,5.3,29.1,37.5,6.6
Nicolas Batum,14,,SG/SF,5700,CHA,ORL,2,113,21,11,103,108,9%,12,10,10,34,27,27,18.9,22.3,12.3,32.2,33.0,31.5,5.5,37.2,36.3,6.4
Darren Collison,10,,PG,5700,IND,NYK,2,111,18,17,99,105,6%,11,10,10,33,32,32,27.9,29.3,17.8,40.8,32.0,28.8,5.1,25.8,41.5,7.3
John Collins,,O,PF/C,5700,ATL,BKN,1,111,19,20,105,108,8%,6,8,8,23,29,23,26.9,24.2,14.6,33.8,0.0,0.0,0.0,0,0.0,0.0
Rodney Hood,,O,SG/SF,5700,UTA,WAS,2,101,27,16,100,104,-2%,16,17,15,27,30,28,30.6,26.0,16.7,35.3,0.0,0.0,0.0,0,0.0,0.0
Dario Saric,4,,PF/C,5600,PHI,PHO,1,119,18,12,105,110,14%,14,12,10,33,32,28,32.4,24.1,13.8,34.4,31.0,29.0,5.2,33.4,28.8,5.1
Justin Holiday,5,,SG/SF,5600,CHI,CLE,2,101,20,12,100,108,1%,12,12,14,37,35,35,28.9,28.3,20.1,36.4,34.0,27.6,4.9,30.6,31.5,5.6
Thaddeus Young,4,,SF/PF,5600,IND,NYK,2,111,17,15,99,105,-11%,14,12,12,32,33,34,28.4,28.5,21.8,35.2,33.0,28.3,5.1,26.7,33.0,5.9
Dennis Smith Jr.,12,,PG/SG,5600,DAL,DEN,1,106,29,11,100,106,7%,10,14,15,25,27,29,24.4,28.0,19.9,36.1,27.0,28.0,5.0,30.9,30.3,5.4
Dwyane Wade,8,,PG/SG,5600,CLE,@CHI,1,109,25,17,99,109,4%,10,12,10,24,25,24,29.4,25.1,13.5,36.7,25.5,26.8,4.8,26,35.0,6.3
Pau Gasol,8,,PF/C,5500,SAS,DET,0,103,19,21,99,105,0%,6,10,8,29,29,26,32.0,29.3,20.5,38.1,27.0,29.9,5.4,28.9,38.5,7.0
Ricky Rubio,6,,PG,5500,UTA,WAS,2,101,24,14,100,104,-6%,8,8,11,26,26,29,24.4,27.9,17.1,38.7,26.5,25.6,4.7,23.8,18.8,3.4
Evan Fournier,6,,SG/SF,5500,ORL,@CHA,0,106,22,17,101,105,3%,14,13,14,35,35,33,26.6,30.2,21.1,39.2,34.0,29.2,5.3,29.9,25.8,4.7
Marcus Smart,,,SG/SF,5400,BOS,MIL,1,104,20,11,98,105,-8%,6,8,10,31,30,31,28.1,26.1,18.2,34.1,31.0,26.4,4.9,29.8,24.0,4.4
Denzel Valentine,,,SG/SF,5400,CHI,CLE,2,101,17,12,100,108,4%,6,8,10,33,33,29,26.7,24.0,14.8,33.3,29.5,23.2,4.3,30.1,13.8,2.6
Avery Bradley,1,,PG/SG,5400,DET,@SAS,1,99,23,13,97,101,-4%,12,13,14,32,32,33,21.1,26.1,18.1,34.1,33.0,25.3,4.7,33.3,9.3,1.7
Robin Lopez,1,,C,5300,CHI,CLE,2,101,20,15,100,108,1%,12,12,12,32,30,30,24.7,24.6,17.7,31.5,29.5,24.1,4.5,25.5,27.3,5.2
Mario Chalmers,,,PG,5300,MEM,MIN,1,99,20,10,99,108,3%,6,7,8,17,23,24,17.1,19.9,10.8,29.0,19.5,16.1,3.0,20.3,10.0,1.9
Taurean Prince,4,,SG/SF,5300,ATL,BKN,1,111,20,12,105,108,-4%,13,11,12,28,26,31,19.4,25.7,16.6,34.8,30.0,27.0,5.1,27.9,19.0,3.6
J.J. Redick,11,,SG/SF,5300,PHI,PHO,1,119,19,13,105,110,6%,13,14,13,34,34,34,28.3,27.4,18.7,36.2,35.0,30.6,5.8,33.5,30.3,5.7
