Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
14.4,Devonta,0.0,Car@Atl 01:00PM ET,7498765,Freeman,Devonta Freeman,Devonta Freeman (7498765),CAR,RB,11.8,12.7,12.7,13.88,11.7815892963,10.6237186839,5.0,0.0873786407767,5500,ATL,5.0,0.0
16.6,Tyrod,1.0,Buf@NE 01:00PM ET,7498680,Taylor,Tyrod Taylor,Tyrod Taylor (7498680),NE,QB,17.4,18.7,18.7,16.04,17.3533447803,15.647949139,0.0,0.0,5400,BUF,6.0,0.0
0.0,Sammy,0.0,Buf@NE 01:00PM ET,7498876,Watkins,Sammy Watkins,Sammy Watkins (7498876),NE,WR,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.128205128205,5400,BUF,0.0,0.0
6.7,Trevor,1.0,Den@TB 04:05PM ET,7498703,Siemian,Trevor Siemian,Trevor Siemian (7498703),TB,QB,14.62,16.3,16.3,14.66,15.0035494939,13.5278696897,0.0,0.0,5400,DEN,0.0,0.0
13.1,Jameis,1.0,Den@TB 04:05PM ET,7498704,Winston,Jameis Winston,Jameis Winston (7498704),DEN,QB,17.24,16.3,16.3,15.08,15.5910752402,14.0634523569,0.0,0.0,5400,TB,0.0,0.0
0.7,Jamaal,0.0,KC@Pit 08:30PM ET,7498824,Charles,Jamaal Charles,Jamaal Charles (7498824),PIT,RB,8.82,10.1,10.1,10.03,9.24307887419,8.33343927452,12.0,0.0,5400,KC,7.0,0.0
27.1,Will,1.0,Ten@Hou 01:00PM ET,7498843,Fuller,Will Fuller,Will Fuller (7498843),TEN,WR,15.34,12.1,12.1,13.97,12.1438242668,10.9594211863,2.0,0.233644859813,5300,HOU,6.0,0.0
11.9,Ryan,1.0,Sea@NYJ 01:00PM ET,7498674,Fitzpatrick,Ryan Fitzpatrick,Ryan Fitzpatrick (7498674),SEA,QB,15.36,16.7,16.7,14.41,15.4572235645,13.937772704,0.0,0.0,5300,NYJ,8.0,0.0
0.0,Jay,1.0,Det@Chi 01:00PM ET,7498695,Cutler,Jay Cutler,Jay Cutler (7498695),DET,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300,CHI,0.0,0.0
0.0,Doug,0.0,Den@TB 04:05PM ET,7498787,Martin,Doug Martin,Doug Martin (7498787),DEN,RB,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0357142857143,5300,TB,0.0,0.0
