"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","TierRank"
"TE","Mitchell Henry (7147883)","Mitchell Henry",7147883,2500,"GB@Jax 01:00PM ET","GB","Mitchell","Henry","Jax",0,0,0,0,0
"TE","Nick O'Leary (7147861)","Nick O'Leary",7147861,2500,"Buf@Bal 01:00PM ET","Buf","Nick","O'Leary","Bal",0,0,0,0,0
"TE","Matt LaCosse (7147908)","Matt LaCosse",7147908,2500,"NYG@Dal 04:25PM ET","NYG","Matt","LaCosse","Dal",0,0,0,0,0
"TE","Nick Vannett (7147896)","Nick Vannett",7147896,2500,"Mia@Sea 04:05PM ET","Sea","Nick","Vannett","Mia",0,0,0,0,0
"TE","Austin Traylor (7147909)","Austin Traylor",7147909,2500,"NYG@Dal 04:25PM ET","Dal","Austin","Traylor","NYG",0,0,0,0,0
"TE","Tevin Westbrook (7147784)","Tevin Westbrook",7147784,2500,"TB@Atl 01:00PM ET","TB","Tevin","Westbrook","Atl",0,0,0,0,0
"TE","Alex Ellis (7147797)","Alex Ellis",7147797,2500,"Min@Ten 01:00PM ET","Ten","Alex","Ellis","Min",0,0,0,0,0
"TE","Steven Scheu (7147936)","Steven Scheu",7147936,2500,"NE@Ari 08:30PM ET","NE","Steven","Scheu","Ari",0,0,0,0,0
"TE","Matt Weiser (7147850)","Matt Weiser",7147850,2500,"SD@KC 01:00PM ET","SD","Matt","Weiser","KC",0,0,0,0,0
"TE","Stephen Anderson (7147873)","Stephen Anderson",7147873,2500,"Chi@Hou 01:00PM ET","Hou","Stephen","Anderson","Chi",0,0,0,0,0
"TE","Joshua Perkins (7147785)","Joshua Perkins",7147785,2500,"TB@Atl 01:00PM ET","Atl","Joshua","Perkins","TB",0,0,0,0,0
"TE","Tim Semisch (7147851)","Tim Semisch",7147851,2500,"SD@KC 01:00PM ET","SD","Tim","Semisch","KC",0,0,0,0,0
"TE","Darion Griswold (7147924)","Darion Griswold",7147924,2500,"Det@Ind 04:25PM ET","Ind","Darion","Griswold","Det",0,0,0,0,0
"TE","Nick Boyle (7147862)","Nick Boyle",7147862,2500,"Buf@Bal 01:00PM ET","Bal","Nick","Boyle","Buf",0,0,0,0,0
"TE","Kyle Carter (7147798)","Kyle Carter",7147798,2500,"Min@Ten 01:00PM ET","Min","Kyle","Carter","Ten",0,0,0,0,0
"TE","Bryce Williams (7147937)","Bryce Williams",7147937,2500,"NE@Ari 08:30PM ET","NE","Bryce","Williams","Ari",0,0,0,0,0
"TE","Kennard Backman (7147885)","Kennard Backman",7147885,2500,"GB@Jax 01:00PM ET","GB","Kennard","Backman","Jax",0,0,0,0,0
"TE","Ben Koyack (7147886)","Ben Koyack",7147886,2500,"GB@Jax 01:00PM ET","Jax","Ben","Koyack","GB",0,0,0,0,0
"TE","Troy Niklas (7147938)","Troy Niklas",7147938,2500,"NE@Ari 08:30PM ET","Ari","Troy","Niklas","NE",0,0,0,0,0
"TE","David Morgan (7147799)","David Morgan",7147799,2500,"Min@Ten 01:00PM ET","Min","David","Morgan","Ten",0,0,0,0,0
"TE","Phillip Supernaw (7147800)","Phillip Supernaw",7147800,2500,"Min@Ten 01:00PM ET","Ten","Phillip","Supernaw","Min",0,0,0,0,0
"TE","Seth DeValve (7147811)","Seth DeValve",7147811,2500,"Cle@Phi 01:00PM ET","Cle","Seth","DeValve","Phi",0,0,0,0,0
"TE","Gabe Hughes (7147897)","Gabe Hughes",7147897,2500,"Mia@Sea 04:05PM ET","Mia","Gabe","Hughes","Sea",0,0,0,0,0
"TE","Wes Saxton (7147825)","Wes Saxton",7147825,2500,"Cin@NYJ 01:00PM ET","NYJ","Wes","Saxton","Cin",0,0,0,0,0
"TE","Dominique Jones (7147898)","Dominique Jones",7147898,2500,"Mia@Sea 04:05PM ET","Mia","Dominique","Jones","Sea",0,0,0,0,0
"TE","Ben Braunecker (7147874)","Ben Braunecker",7147874,2500,"Chi@Hou 01:00PM ET","Chi","Ben","Braunecker","Hou",0,0,0,0,0
"TE","Ryan O'Malley (7147838)","Ryan O'Malley",7147838,2500,"Oak@NO 01:00PM ET","Oak","Ryan","O'Malley","NO",0,0,0,0,0
"TE","Clayton Echard (7147899)","Clayton Echard",7147899,2500,"Mia@Sea 04:05PM ET","Sea","Clayton","Echard","Mia",0,0,0,0,0
"TE","Hakeem Valles (7147939)","Hakeem Valles",7147939,2500,"NE@Ari 08:30PM ET","Ari","Hakeem","Valles","NE",0,0,0,0,0
"TE","John DePalma (7147812)","John DePalma",7147812,2500,"Cle@Phi 01:00PM ET","Phi","John","DePalma","Cle",0,0,0,0,0
"TE","Danny Vitale (7147786)","Danny Vitale",7147786,2500,"TB@Atl 01:00PM ET","TB","Danny","Vitale","Atl",0,0,0,0,0
"TE","J.P. Holtz (7147813)","J.P. Holtz",7147813,2500,"Cle@Phi 01:00PM ET","Cle","J.P.","Holtz","Phi",0,0,0,0,0
"TE","Jerell Adams (7147910)","Jerell Adams",7147910,2500,"NYG@Dal 04:25PM ET","NYG","Jerell","Adams","Dal",0,0,0,0,0
"TE","Brian Leonhardt (7147801)","Brian Leonhardt",7147801,2500,"Min@Ten 01:00PM ET","Min","Brian","Leonhardt","Ten",0,0,0,0,0
"TE","Rico Gathers (7147911)","Rico Gathers",7147911,2500,"NYG@Dal 04:25PM ET","Dal","Rico","Gathers","NYG",0,0,0,0,0
"TE","Garrett Griffin (7147839)","Garrett Griffin",7147839,2500,"Oak@NO 01:00PM ET","NO","Garrett","Griffin","Oak",0,0,0,0,0
"TE","Cole Wick (7147925)","Cole Wick",7147925,2500,"Det@Ind 04:25PM ET","Det","Cole","Wick","Ind",0,0,0,0,0
"TE","Geoff Swaim (7147912)","Geoff Swaim",7147912,2500,"NYG@Dal 04:25PM ET","Dal","Geoff","Swaim","NYG",0,0,0,0,0
"TE","E.J. Bibbs (7147814)","E.J. Bibbs",7147814,2500,"Cle@Phi 01:00PM ET","Cle","E.J.","Bibbs","Phi",0,0,0,0,0
"TE","Austin Hooper (7147787)","Austin Hooper",7147787,2500,"TB@Atl 01:00PM ET","Atl","Austin","Hooper","TB",0,3.2,0,3.2,0
"TE","Hunter Henry (7147852)","Hunter Henry",7147852,2500,"SD@KC 01:00PM ET","SD","Hunter","Henry","KC",0,3.6,0,3.6,0
"TE","Thomas Duarte (7147900)","Thomas Duarte",7147900,2500,"Mia@Sea 04:05PM ET","Mia","Thomas","Duarte","Sea",0,0,0,0,0
"TE","Gannon Sinclair (7147875)","Gannon Sinclair",7147875,2500,"Chi@Hou 01:00PM ET","Chi","Gannon","Sinclair","Hou",0,0,0,0,0
"TE","Jason Vander Laan (7147826)","Jason Vander Laan",7147826,2500,"Cin@NYJ 01:00PM ET","NYJ","Jason","Vander Laan","Cin",0,0,0,0,0
"TE","Braedon Bowman (7147887)","Braedon Bowman",7147887,2500,"GB@Jax 01:00PM ET","Jax","Braedon","Bowman","GB",0,0,0,0,0
"TE","Khari Lee (7147876)","Khari Lee",7147876,2500,"Chi@Hou 01:00PM ET","Chi","Khari","Lee","Hou",0,0,0,0,0
"TE","John Peters (7147827)","John Peters",7147827,2500,"Cin@NYJ 01:00PM ET","Cin","John","Peters","NYJ",0,0,0,0,0
