Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_ceil,Projection_dfn,Projection_rceil,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
3.6,Brian,1.0,LA@NYJ 01:00PM ET,7725735,Quick,Brian Quick,Brian Quick (7725735),NYJ,WR,9.54,16.1,7.3,7.3,7.70762496053,7.7274038477,4.0,0.133802816901,3700,LA,0.0,1.0
32.9,Ryan,0.0,Atl@Phi 01:00PM ET,7725635,Mathews,Ryan Mathews,Ryan Mathews (7725635),ATL,RB,8.14,15.7,4.9,4.9,5.84209463404,5.88984143454,8.0,0.0337078651685,3700,PHI,0.0,0.0
7.0,Wendell,0.0,Atl@Phi 01:00PM ET,7725641,Smallwood,Wendell Smallwood,Wendell Smallwood (7725641),ATL,RB,0.0,9.4,2.2,2.2,1.21601969186,1.16490660118,10.0,0.0112359550562,3700,PHI,0.0,0.0
11.5,Zach,1.0,Atl@Phi 01:00PM ET,7725868,Ertz,Zach Ertz,Zach Ertz (7725868),ATL,TE,9.07,13.8,9.3,9.3,8.6321596982,8.59614202764,5.0,0.116104868914,3700,PHI,5.0,0.0
9.5,Ted,0.0,KC@Car 01:00PM ET,7725756,Ginn,Ted Ginn,Ted Ginn Jr. (7725756),KC,WR,7.53,,8.7,8.7,7.70765823515,7.65500949425,3.0,0.131313131313,3700,CAR,7.0,0.0
6.6,Jeremy,0.0,Chi@TB 01:00PM ET,7725655,Langford,Jeremy Langford,Jeremy Langford (7725655),TB,RB,4.38,13.2,2.4,2.4,3.01275239932,3.04394136416,7.0,0.0371621621622,3700,CHI,0.0,0.0
2.5,Ka'Deem,0.0,Chi@TB 01:00PM ET,7725656,Carey,Ka'Deem Carey,Ka'Deem Carey (7725656),TB,RB,2.46,5.4,4.8,4.8,3.60016954401,3.53748427487,10.0,0.0135135135135,3700,CHI,0.0,0.0
3.4,Eddie,1.0,Chi@TB 01:00PM ET,7725767,Royal,Eddie Royal,Eddie Royal (7725767),TB,WR,10.1,21.5,9.7,9.7,9.24977725307,9.22491313373,4.0,0.128378378378,3700,CHI,7.0,1.0
9.8,Adam,1.0,Chi@TB 01:00PM ET,7725776,Humphries,Adam Humphries,Adam Humphries (7725776),CHI,WR,8.47,16.4,9.6,9.6,8.56699625531,8.51209783699,2.0,0.160377358491,3700,TB,7.0,1.0
0.0,Kenneth,0.0,Mia@SD 04:05PM ET,7725677,Farrow,Kenneth Farrow,Kenneth Farrow (7725677),MIA,RB,4.15,2.3,3.4,3.4,3.47694463741,3.48033457988,10.0,0.00909090909091,3700,SD,0.0,0.0
12.7,Kenny,0.0,Mia@SD 04:05PM ET,7725805,Stills,Kenny Stills,Kenny Stills (7725805),SD,WR,8.5,17.1,8.5,8.5,7.97053562488,7.94178929095,3.0,0.136929460581,3700,MIA,7.0,1.0
