"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Kosta Koufos","C","SAC","@ CHI","25th",98.25,3400,1.3,30.6,16.3,0.88,12.5,3.8,18.6,15.82,13.87,13.87,"%",49,4.1,13,10.5,3.1
"Mario Hezonja","PG/SFPGSF","ORL","vs GSW","18th",109.25,3400,0,18.3,6.8,0.74,17.3,2.8,9.2,8.8,6.67,6.67,"%",14,2,13,11.75,3.5
"Arron Afflalo","SG/SFSGSF","ORL","vs GSW","18th",109.25,3400,0,21.7,5.1,0.47,9.5,2.1,10.9,20.9,9.13,9.13,"%",0,2.7,17,2,0.6
"Andrew Harrison","PG/SGPGSG","MEM","vs SAS","6th",94.75,3400,0,10.7,9.9,0.65,20.5,4.9,15.3,0,0,0,"%",46,0,9,15.5,4.6
"Jarell Martin","PF/CPFC","MEM","vs SAS","6th",94.75,3400,0,18.9,12.1,0.69,15.5,4.6,17.5,8.6,5.23,5.23,"%",44,1.5,15,4,1.2
"Dwayne Bacon","SG/SFSGSF","CHA","@ MIA","23rd",101.75,3300,0,21,11.4,0.61,13,5,18.6,9.82,6.33,6.33,"%",36,1.9,0,0,NA
"Raymond Felton","PG/SGPGSG","OKC","vs MIN","13th",106.75,3300,5.5,24.5,14.6,0.85,18.2,6.4,17.1,16.48,13.66,13.66,"%",63,4.1,11,6.25,1.9
"Nick Young","SG","GSW","@ ORL","22nd",119.25,3300,7.8,40.1,11.2,0.87,21.2,5.3,12.9,21,21.65,21.65,"%",18,6.6,2,3.5,1.1
"Brandan Wright","PF/CPFC","MEM","vs SAS","6th",94.75,3300,0,28.3,14,0.98,16.8,4.1,14.3,13,10.96,10.96,"%",38,3.3,7,2,0.6
"Dante Cunningham","SF/PFSFPF","NOP","@ UTA","3rd",104,3300,0.6,19.8,12.5,0.54,10.8,5,23,16.95,8.8,8.8,"%",56,2.7,4,4.75,1.4
"Shelvin Mack","PG","ORL","vs GSW","8th",109.25,3300,0,12.8,15.6,0.85,13.6,4.5,18.3,0,0,0,"%",59,0,3,4.25,1.3
