"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"C","Lucas Nogueira",3400,"CHA@TOR 11/29/2017 07:30PM ET",11.547,"TOR","CHA",3.97,0,6.75
"PG","Fred VanVleet",3400,"CHA@TOR 11/29/2017 07:30PM ET",13.395,"TOR","CHA",15.93,16.2,23.75
"PF/C","Jakob Poeltl",3400,"CHA@TOR 11/29/2017 07:30PM ET",14.974,"TOR","CHA",9.88,9.8,10
"SG","Troy Daniels",3300,"PHO@DET 11/29/2017 07:00PM ET",9.345,"PHO","DET",6.63,8,3
"SG","Luke Kennard",3300,"PHO@DET 11/29/2017 07:00PM ET",10.696,"DET","PHO",11.96,11.8,27.5
"SG","Nick Young",3300,"GS@LAL 11/29/2017 10:30PM ET",11.213,"GS","LAL",8.3,10.1,11.5
"PG/SG","Raymond Felton",3300,"OKC@ORL 11/29/2017 07:00PM ET",14.684,"OKC","ORL",13.11,12.3,12.5
"SF/PF","Jonathan Isaac",3300,"OKC@ORL 11/29/2017 07:00PM ET",16.229,"ORL","OKC",0,0,0
"SG/SF","Alex Abrines",3300,"OKC@ORL 11/29/2017 07:00PM ET",7.697,"OKC","ORL",2.47,0,0
"C","Dakari Johnson",3300,"OKC@ORL 11/29/2017 07:00PM ET",6.05,"OKC","ORL",0,0,3.25
"SF/PF","Doug McDermott",3300,"MIA@NY 11/29/2017 07:30PM ET",13.975,"NY","MIA",0,0,0
"PF/C","Tarik Black",3300,"IND@HOU 11/29/2017 08:00PM ET",10.1,"HOU","IND",4.37,0,0
"PF/C","Quincy Acy",3300,"BKN@DAL 11/29/2017 08:30PM ET",13.117,"BKN","DAL",10.66,12.3,13.75
"PG/SG","Ian Clark",3300,"MIN@NO 11/29/2017 08:00PM ET",10.324,"NO","MIN",2.95,0,3.5
"PF","Cheick Diallo",3300,"MIN@NO 11/29/2017 08:00PM ET",5.75,"NO","MIN",0,0,0
"SF/PF","Dante Cunningham",3300,"MIN@NO 11/29/2017 08:00PM ET",12.425,"NO","MIN",8.48,10.1,10.5
