"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Jake Smolinski",2500,"LAA@OAK 10:05PM ET",4.495,"OAK","LAA",NA,0,NA,NA,"x","x",NA
"C","Manny Pina",2500,"COL@MIL 07:40PM ET",3.879,"MIL","COL",NA,0,NA,NA,"x","x",NA
"C","Jett Bandy",2500,"COL@MIL 07:40PM ET",5.029,"MIL","COL",6.05,5.8,5.59,NA,"8","7",6
"C","Jacob Nottingham",2500,"COL@MIL 07:40PM ET",0,"MIL","COL",NA,0,NA,NA,"x","x",NA
"2B/SS","Cristhian Adames",2500,"COL@MIL 07:40PM ET",2.81,"COL","MIL",NA,0,1.4,NA,"x","x",NA
"3B/SS","Alexi Amarista",2500,"COL@MIL 07:40PM ET",3.277,"COL","MIL",NA,0,1.43,NA,"x","x",NA
"OF","Corey Ray",2500,"COL@MIL 07:40PM ET",0,"MIL","COL",NA,0,NA,NA,"x","x",NA
"C","Roberto Perez",2500,"CLE@TEX 08:05PM ET",4.145,"CLE","TEX",NA,0,1.59,NA,"x","x",NA
"2B/OF","Michael Martinez",2500,"CLE@TEX 08:05PM ET",1.93,"CLE","TEX",NA,0,1.53,NA,"x","x",NA
"2B/SS","Hanser Alberto",2500,"CLE@TEX 08:05PM ET",1.286,"TEX","CLE",NA,0,NA,NA,"x","x",NA
"OF","Jake Marisnick",2500,"SEA@HOU 08:10PM ET",3.949,"HOU","SEA",NA,0,NA,NA,"x","x",NA
"OF","Guillermo Heredia",2500,"SEA@HOU 08:10PM ET",3.622,"SEA","HOU",NA,0,1.35,NA,"x","x",NA
"C","Oscar Hernandez",2500,"SF@ARI 09:40PM ET",4.25,"ARI","SF",NA,0,NA,NA,"x","x",NA
"1B/OF","Chris Marrero",2500,"SF@ARI 09:40PM ET",0,"SF","ARI",5.31,7.9,6.67,NA,"x","7",2
"3B","Conor Gillaspie",2500,"SF@ARI 09:40PM ET",3.877,"SF","ARI",NA,0,1.7,NA,"x","x",NA
"C","Christian Bethancourt",2500,"SD@LAD 10:10PM ET",4.205,"SD","LAD",NA,0,1.27,NA,"x","x",NA
"OF","Travis Jankowski",2500,"SD@LAD 10:10PM ET",5.069,"SD","LAD",5.15,7.2,5.13,NA,"1","1",4
"2B/OF","Kike Hernandez",2400,"SD@LAD 10:10PM ET",3.009,"LAD","SD",NA,NA,1.58,NA,NA,NA,NA
"SS","Allen Cordoba",2400,"SD@LAD 10:10PM ET",0,"SD","LAD",NA,0,1.41,NA,"x","x",NA
"OF","Scott Van Slyke",2400,"SD@LAD 10:10PM ET",2.827,"LAD","SD",NA,0,1.67,NA,"x","x",NA
"3B/SS","Greg Garcia",2300,"CHC@STL 08:15PM ET",4.09,"STL","CHC",NA,0,1.35,NA,"x","x",NA
"C","Jesus Sucre",2300,"NYY@TB 07:10PM ET",8.111,"TB","NYY",NA,0,NA,NA,"x","x",NA
"C","Curt Casali",2300,"NYY@TB 07:10PM ET",4.19,"TB","NYY",NA,0,1.52,NA,"x","x",NA
"2B/SS","Pete Kozma",2300,"NYY@TB 07:10PM ET",0,"NYY","TB",NA,0,NA,NA,"x","x",NA
"SS","Daniel Robertson",2300,"NYY@TB 07:10PM ET",0,"TB","NYY",5.31,0,5.98,NA,"x","x",0
"SS","Gleyber Torres",2300,"NYY@TB 07:10PM ET",0,"NYY","TB",NA,0,NA,NA,"x","x",NA
"OF","Rickie Weeks",2300,"NYY@TB 07:10PM ET",3.704,"TB","NYY",4.77,7.6,6.32,NA,"x","4",0
"C","Bruce Maxwell",2300,"LAA@OAK 10:05PM ET",4.909,"OAK","LAA",NA,0,NA,NA,"x","x",NA
"OF","Matt Joyce",2300,"LAA@OAK 10:05PM ET",4.193,"OAK","LAA",6.12,7,6.68,NA,"5","2",0
"OF","Ryan LaMarre",2300,"LAA@OAK 10:05PM ET",0.667,"LAA","OAK",NA,0,NA,NA,"x","x",NA
"1B","Stephen Cardullo",2300,"COL@MIL 07:40PM ET",3.296,"COL","MIL",NA,0,NA,NA,"x","x",NA
"2B/3B","Yadiel Rivera",2300,"COL@MIL 07:40PM ET",2.4,"MIL","COL",NA,0,NA,NA,"x","x",NA
"2B/OF","Drew Robinson",2300,"CLE@TEX 08:05PM ET",0,"TEX","CLE",NA,0,1.65,NA,"x","x",NA
"OF","Daniel Robertson",2300,"CLE@TEX 08:05PM ET",2.556,"CLE","TEX",5.31,0,5.98,NA,"x","x",0
"C","Carlos Ruiz",2300,"SEA@HOU 08:10PM ET",5.493,"SEA","HOU",NA,0,1.36,NA,"x","x",NA
"2B/SS","Shawn O'Malley",2300,"SEA@HOU 08:10PM ET",3.82,"SEA","HOU",NA,0,NA,NA,"x","x",NA
"C","Chris Iannetta",2300,"SF@ARI 09:40PM ET",4.649,"ARI","SF",NA,NA,NA,NA,"7","x",NA
"C","Trevor Brown",2300,"SF@ARI 09:40PM ET",3.5,"SF","ARI",NA,0,NA,NA,"x","x",NA
"2B/SS","Daniel Descalso",2300,"SF@ARI 09:40PM ET",5.303,"ARI","SF",NA,0,1.45,NA,"x","x",NA
"C","Hector Sanchez",2300,"SD@LAD 10:10PM ET",3.357,"SD","LAD",NA,0,NA,NA,"x","x",NA
"C","Austin Hedges",2300,"SD@LAD 10:10PM ET",2.375,"SD","LAD",4.94,4.5,5.08,NA,"7","7",0
"2B","Luis Urias",2300,"SD@LAD 10:10PM ET",0,"SD","LAD",NA,0,NA,NA,"x","x",NA
"SS","Erick Aybar",2300,"SD@LAD 10:10PM ET",4.592,"SD","LAD",4.83,5.1,4.51,NA,"x","8",15
"C","Carson Kelly",2200,"CHC@STL 08:15PM ET",1.4,"STL","CHC",NA,0,1.17,NA,"x","x",NA
"C","Austin Romine",2200,"NYY@TB 07:10PM ET",4.435,"NYY","TB",NA,0,1.38,NA,"x","x",NA
"C","Luke Maile",2200,"NYY@TB 07:10PM ET",4.143,"TB","NYY",NA,0,1.39,NA,"x","x",NA
"C","Martin Maldonado",2200,"LAA@OAK 10:05PM ET",4.829,"LAA","OAK",4.83,5.6,4.78,NA,"9","9",9
"2B/3B","Adam Rosales",2200,"LAA@OAK 10:05PM ET",4.771,"OAK","LAA",NA,0,1.55,NA,"x","x",NA
"SS","David Fletcher",2200,"LAA@OAK 10:05PM ET",0,"LAA","OAK",NA,0,NA,NA,"x","x",NA
"C","Tuffy Gosewisch",2200,"SEA@HOU 08:10PM ET",3.412,"SEA","HOU",NA,0,1.29,NA,"x","x",NA
"OF","Kyle Tucker",2200,"SEA@HOU 08:10PM ET",0,"HOU","SEA",NA,0,NA,NA,"x","x",NA
"SS","Nick Ahmed",2200,"SF@ARI 09:40PM ET",4.356,"ARI","SF",NA,0,1.52,NA,"x","x",NA
"C","Luis Torrens",2200,"SD@LAD 10:10PM ET",0,"SD","LAD",NA,0,1.27,NA,"x","x",NA
"C","Eric Fryer",2100,"CHC@STL 08:15PM ET",3.267,"STL","CHC",NA,0,NA,NA,"x","x",NA
"3B/SS","Ronald Torreyes",2100,"NYY@TB 07:10PM ET",3.569,"NYY","TB",4.76,5.9,5.15,NA,"8","9",16
"3B/SS","Luis Sardinas",2100,"SD@LAD 10:10PM ET",4.682,"SD","LAD",NA,NA,NA,NA,"8","x",NA
"OF","Eloy Jimenez",2000,"CHC@STL 08:15PM ET",0,"CHC","STL",NA,0,NA,NA,"x","x",NA
"C","Carlos Perez",2000,"LAA@OAK 10:05PM ET",4.345,"LAA","OAK",NA,0,1.4,NA,"x","x",NA
"2B/SS","Cliff Pennington",2000,"LAA@OAK 10:05PM ET",3.162,"LAA","OAK",NA,0,1.35,NA,"x","x",NA
"1B","Daniel Vogelbach",2000,"SEA@HOU 08:10PM ET",0.625,"SEA","HOU",NA,NA,NA,NA,NA,NA,NA
"OF","Kyle Lewis",2000,"SEA@HOU 08:10PM ET",0,"SEA","HOU",NA,0,NA,NA,"x","x",NA
"C","Jeff Mathis",2000,"SF@ARI 09:40PM ET",4.415,"ARI","SF",3.56,4.5,1.26,NA,"x","8",0
