"player","salary","team","pos","opp","ceil","floor","fpts"
"Eli Rogers",3900,"PIT","WR","CLE",6.6465,6.0135,6.33
"Martavis Bryant",6000,"PIT","WR","CLE",23.8023,6.1377,14.97
"Josh Bellamy",3000,"CHI","WR","ATL",4.4144,2.7056,3.56
"Deonte Thompson",3000,"CHI","WR","ATL",11.3412,3.1988,7.27
"Dion Sims",2500,"CHI","TE","ATL",7.326,2.574,4.95
"Le'Veon Bell",9800,"PIT","RB","CLE",36.7708,16.9092,26.84
"Antonio Brown",8800,"PIT","WR","CLE",31.2936,14.7264,23.01
"James Conner",4500,"PIT","RB","CLE",2.595,0.865,1.73
"Kenny Britt",4800,"CLE","WR","PIT",20.4692,7.5708,14.02
"Ricardo Louis",3000,"CLE","WR","PIT",7.224,3.096,5.16
"Allen Robinson",5200,"JAC","WR","HOU",19.194,8.226,13.71
"T.J. Yeldon",3900,"JAC","RB","HOU",4.5,1.5,3
"Marqise Lee",3800,"JAC","WR","HOU",15.544,5.896,10.72
"Allen Hurns",3500,"JAC","WR","HOU",5.8275,5.2725,5.55
"Marcedes Lewis",2500,"JAC","TE","HOU",8.6064,1.9536,5.28
"Dede Westbrook",3000,"JAC","WR","HOU",6.825,2.275,4.55
"Chris Ivory",3600,"JAC","RB","HOU",5.265,1.755,3.51
"Leonard Fournette",5700,"JAC","RB","HOU",18.3744,7.1456,12.76
"Vance McDonald",2800,"PIT","TE","CLE",5.066,0.894,2.98
"Seth DeValve",2500,"CLE","TE","PIT",7.6788,1.8012,4.74
"Darrius Heyward-Bey",3000,"PIT","WR","CLE",3.616,0.904,2.26
"Justin Hunter",4000,"PIT","WR","CLE",3.2033,3.0167,3.11
"David Njoku",2700,"CLE","TE","PIT",9.8868,2.9532,6.42
"Kasen Williams",3000,"CLE","WR","PIT",2.85,0.15,1.5
"Kareem Hunt",5800,"KCC","RB","NEP",20.6112,6.5088,13.56
