Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
8.0,Anquan,1.0,Det@NO 01:00PM ET,7852268,Boldin,Anquan Boldin,Anquan Boldin (7852268),NO,WR,12.23,13.1,12.2663542492,12.629476961,3.0,0.174129353234,4100,DET,5.0,1.0
0.2,Jeremy,0.0,SF@Chi 01:00PM ET,7852204,Langford,Jeremy Langford,Jeremy Langford (7852204),SF,RB,4.8,5.7,5.10965855136,5.25744608588,7.0,0.0509708737864,4100,CHI,0.0,0.0
9.7,Cameron,0.0,SF@Chi 01:00PM ET,7852344,Meredith,Cameron Meredith,Cameron Meredith (7852344),SF,WR,11.51,10.7,10.6828210577,11.0091981018,3.0,0.145631067961,4100,CHI,6.0,1.0
0.0,Robert,1.0,Buf@Oak 04:05PM ET,7852354,Woods,Robert Woods,Robert Woods (7852354),OAK,WR,0.0,0.0,0.0,0.0,1.0,0.19937694704,4100,BUF,0.0,1.0
7.7,Antonio,1.0,TB@SD 04:25PM ET,7852481,Gates,Antonio Gates,Antonio Gates (7852481),TB,TE,11.22,10.9,10.6620091707,10.9845937257,4.0,0.140740740741,4100,SD,3.0,0.0
9.4,Taylor,0.0,KC@Atl 01:00PM ET,7852266,Gabriel,Taylor Gabriel,Taylor Gabriel (7852266),KC,WR,9.25,6.8,7.63380089287,7.87911895657,5.0,0.0753246753247,4000,ATL,0.0,0.0
-0.1,Benny,0.0,LA@NE 01:00PM ET,7852163,Cunningham,Benny Cunningham,Benny Cunningham (7852163),NE,RB,3.93,7.7,5.78762300198,5.93724248837,6.0,0.0558510638298,4000,LA,0.0,0.0
7.5,James,1.0,LA@NE 01:00PM ET,7852164,White,James White,James White (7852164),LA,RB,8.61,9.8,8.94101624269,9.20210602755,2.0,0.172151898734,4000,NE,5.0,0.0
4.9,Kapri,0.0,Den@Jax 01:00PM ET,7852172,Bibbs,Kapri Bibbs,Kapri Bibbs (7852172),JAX,RB,5.69,5.6,5.44525270845,5.609527053,12.0,0.0104438642298,4000,DEN,0.0,0.0
7.4,Marqise,1.0,Den@Jax 01:00PM ET,7852298,Lee,Marqise Lee,Marqise Lee (7852298),DEN,WR,10.82,11.7,10.9104972501,11.232796184,3.0,0.156732891832,4000,JAX,6.0,1.0
0.0,Marquess,0.0,SF@Chi 01:00PM ET,7852343,Wilson,Marquess Wilson,Marquess Wilson (7852343),SF,WR,12.17,9.0,10.0718499821,10.3951128873,9.0,0.0364077669903,4000,CHI,0.0,1.0
0.0,Shane,0.0,NYG@Pit 04:25PM ET,7852221,Vereen,Shane Vereen,Shane Vereen (7852221),PIT,RB,0.0,0.0,0.0,0.0,10.0,0.0330188679245,4000,NYG,0.0,0.0
0.0,Charles,1.0,TB@SD 04:25PM ET,7852240,Sims,Charles Sims,Charles Sims (7852240),SD,RB,0.0,0.0,0.0,0.0,7.0,0.0424528301887,4000,TB,0.0,0.0
19.6,Ted,0.0,Car@Sea 08:30PM ET,7852394,Ginn,Ted Ginn,Ted Ginn Jr. (7852394),SEA,WR,7.59,8.0,7.54384911077,7.76797901202,3.0,0.155,4000,CAR,0.0,1.0
7.8,Eric,1.0,Det@NO 01:00PM ET,7852418,Ebron,Eric Ebron,Eric Ebron (7852418),NO,TE,14.08,12.8,12.9152114384,13.311735166,5.0,0.124378109453,3900,DET,2.0,0.0
0.0,Tavon,1.0,LA@NE 01:00PM ET,7852283,Austin,Tavon Austin,Tavon Austin (7852283),NE,WR,0.0,0.0,0.0,0.0,2.0,0.207446808511,3900,LA,0.0,1.0
0.0,Ryan,1.0,Phi@Cin 01:00PM ET,7852188,Mathews,Ryan Mathews,Ryan Mathews (7852188),CIN,RB,0.0,0.0,0.0,0.0,8.0,0.0284237726098,3900,PHI,0.0,0.0
2.9,Damien,0.0,Mia@Bal 01:00PM ET,7852197,Williams,Damien Williams,Damien Williams (7852197),BAL,RB,2.64,4.5,3.53220231199,3.62636463966,6.0,0.0602409638554,3900,MIA,0.0,0.0
4.1,Kenny,0.0,Mia@Bal 01:00PM ET,7852329,Stills,Kenny Stills,Kenny Stills (7852329),BAL,WR,9.72,7.3,8.10338179996,8.36262229965,3.0,0.153614457831,3900,MIA,0.0,1.0
0.8,DuJuan,0.0,SF@Chi 01:00PM ET,7852202,Harris,DuJuan Harris,DuJuan Harris (7852202),CHI,RB,2.56,2.6,2.49245404948,2.56712253616,9.0,0.0251396648045,3900,SF,0.0,0.0
0.0,DeAndre,0.0,Buf@Oak 04:05PM ET,7852216,Washington,DeAndre Washington,DeAndre Washington (7852216),BUF,RB,2.99,0.0,1.30511779691,1.36367590534,7.0,0.0382882882883,3900,OAK,0.0,0.0
2.8,Eli,1.0,NYG@Pit 04:25PM ET,7852368,Rogers,Eli Rogers,Eli Rogers (7852368),NYG,WR,8.84,9.5,8.88275275262,9.14551641754,4.0,0.0988505747126,3900,PIT,0.0,1.0
11.2,J.J.,0.0,Was@Ari 04:25PM ET,7852377,Nelson,J.J. Nelson,J.J. Nelson (7852377),WAS,WR,6.51,9.7,7.97149260288,8.19051108933,5.0,0.089552238806,3900,ARI,6.0,1.0
0.6,Peyton,0.0,TB@SD 04:25PM ET,7852245,Barber,Peyton Barber,Peyton Barber (7852245),SD,RB,3.41,2.4,2.75770271447,2.84713109516,11.0,0.0165094339623,3900,TB,0.0,0.0
7.8,Dion,0.0,LA@NE 01:00PM ET,7852162,Lewis,Dion Lewis,Dion Lewis (7852162),LA,RB,10.05,10.8,10.0984251801,10.3971521627,8.0,0.0303797468354,3800,NE,5.0,0.0
0.0,Chris,1.0,Den@Jax 01:00PM ET,7852168,Ivory,Chris Ivory,Chris Ivory (7852168),DEN,RB,0.0,0.0,0.0,0.0,7.0,0.046357615894,3800,JAX,0.0,0.0
10.4,C.J.,1.0,Hou@GB 01:00PM ET,7852435,Fiedorowicz,C.J. Fiedorowicz,C.J. Fiedorowicz (7852435),GB,TE,10.06,7.9,8.56910417727,8.84066463816,3.0,0.146766169154,3800,HOU,5.0,0.0
21.8,Terrance,1.0,Mia@Bal 01:00PM ET,7852195,West,Terrance West,Terrance West (7852195),MIA,RB,10.55,9.9,9.84070080307,10.1407283421,7.0,0.0622222222222,3800,BAL,5.0,0.0
