id,last_name,first_name,team,position,opponent,games,innings,singles,doubles,triples,home_runs,walks,strikeouts,runs,earned_runs,opp_ba,cg,qs,wins,losses,saves,blown_saves,holds,hbp,outs,odds,weather,injury, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
9570,Wojciechowski,Asher,CIN,SP,STL,1.00,6.00,6.00,2.00,0.00,0.00,2.00,6.00,2.00,2.00,0.37,0.000,1.000,0.00,0.00,0.00,0.00,0.00,0.000,18.00,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,5500,25,4500,0,0,0,0,0,0,P,P,SP,,,,,,,0,
6701,Fiers,Mike,HOU,SP,@ KC,1.00,5.00,5.00,2.00,0.00,0.00,1.00,4.00,2.00,2.00,0.33,0.000,0.000,1.00,0.00,0.00,0.00,0.00,0.000,15.00,-1.5 (+120) (o/u 10.0) (-134),71 I CF 5-7 5% H61%outdoor,,7400,30,7500,0,0,0,0,0,0,P,P,SP,,,,,,,0,
10629,Pivetta,Nick,PHI,SP,@ ATL,1.00,5.00,4.00,1.00,1.00,0.00,3.00,4.00,3.00,3.00,0.31,0.000,0.000,1.00,0.00,0.00,0.00,0.00,0.000,15.00,+1.5 (-180) (o/u 9.5) (+121),70 O RF 3-4 40% H94%outdoor,,6100,25,5900,0,0,0,0,0,0,P,P,SP,,,,,,,0,
6215,Montgomery,Mike,CHC,RP,MIA,1.00,3.33,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.26,0.000,0.000,0.00,0.00,1.00,0.00,0.00,0.000,10.00,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,5500,25,5300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8445,Ryu,Hyun-Jin,LAD,SP,WAS,1.00,7.00,5.00,1.00,0.00,1.00,0.00,4.00,4.00,4.00,0.25,0.000,0.000,0.00,1.00,0.00,0.00,0.00,0.000,21.00,-1.5 (+155) (o/u 8.5) (-135),63 O CF 1-2 6% H84%outdoor,Probable,6900,32,6600,0,0,0,0,0,0,P,P,SP,,,,,,,0,
8509,Romero,Enny,WAS,RP,@ LAD,1.00,2.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,0.00,0.15,0.000,0.000,0.00,0.00,0.00,0.00,1.00,0.000,6.00,+1.5 (-175) (o/u 8.5) (+125),63 O CF 1-2 6% H84%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10739,Strahm,Matt,KC,RP,HOU,1.00,1.67,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.21,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.000,5.00,+1.5 (-140) (o/u 10.0) (+124),71 I CF 5-7 5% H61%outdoor,,5500,25,4600,0,0,0,0,0,0,P,P,RP,,,,,,,0,
6861,Hughes,Jared,MIL,RP,SF,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.000,3.00,+1.5 (-140) (o/u 8.0) (+116),56 N RL 7-13 3% H62% retractable,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8097,Bonilla,Lisalverto,CIN,SP,STL,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.000,0.000,1.00,0.00,0.00,0.00,0.00,0.000,3.00,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,7100,25,4800,0,0,0,0,0,0,P,P,SP,,,,,,,0,
9884,Iglesias,Raisel,CIN,SP,STL,1.00,1.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.000,0.000,0.00,0.00,1.00,0.00,0.00,0.000,3.00,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,5500,25,6700,0,0,0,0,0,0,P,P,SP,,,,,,,0,
