"id","last_name","first_name","team","position","opponent","games","pa","ab","singles","doubles","triples","home_runs","walks","strikeouts","sb","cs","runs","rbi","hbp","sac_flies","gidp","errors","outs","matchup","odds","weather","injury","bvp","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
3143,"McCann","Brian","HOU","C","@ MIA",1,4.32,3.79,0.62,0.12,0.01,0.15,0.5,0.83,0.01,0,0.49,0.44,0,0.04,0,0.03,2.9,"@MIA (Straily R) L Ord 6","-1.5 (+146) (o/u 9.0) (-117)","79 I RF 5-9 39% H80% retractable","","",2900,16,3200,0,0,0,0,0,0,"C","C","C","C;DH",NA,NA,NA,NA,NA,0,NA
7565,"Spangenberg","Cory","SD","3B/OF","MIL",1,4.34,4,0.72,0.18,0.04,0.07,0.31,0.98,0.1,0.06,0.48,0.34,0,0.02,0,0.09,2.98,"MIL (Anderson R) L Ord 2","-1.5 (+182) (o/u 7.5) (-115)","60 N LR 6-11 43% H67%outdoor","","4ab .250/.250/.250 1sb 0hr",2600,9,3300,0,0,0,0,0,0,"OF","2B","3B;OF","2B;3B;DH",NA,NA,NA,NA,NA,0,NA
7008,"Solarte","Yangervis","SD","2B","MIL",1,4.12,3.76,0.68,0.2,0.02,0.11,0.32,0.48,0.02,0.01,0.41,0.51,0,0.03,0,0.09,2.76,"MIL (Anderson R) S Ord 4","-1.5 (+182) (o/u 7.5) (-115)","60 N LR 6-11 43% H67%outdoor","","11ab .182/.250/.182 0sb 0hr",2800,9,3600,0,0,0,0,0,0,"3B","2B","2B","2B;3B;DH",NA,NA,NA,NA,NA,0,NA
10655,"Bregman","Alex","HOU","3B","@ MIA",1,4.1,3.73,0.61,0.22,0.04,0.11,0.34,0.72,0.06,0.03,0.41,0.38,0,0.02,0,0.15,2.76,"@MIA (Straily R) R Ord 8","-1.5 (+146) (o/u 9.0) (-117)","79 I RF 5-9 39% H80% retractable","","",2800,12,3800,0,0,0,0,0,0,"3B","3B","3B","3B;DH",NA,NA,NA,NA,NA,0,NA
10728,"Heredia","Guillermo","SEA","OF","OAK",1,4.52,4.1,0.82,0.15,0.01,0.06,0.4,0.67,0.06,0.05,0.53,0.42,0,0.02,0,0,3.07,"OAK (Manaea L) R Ord 2","-1.5 (+176) (o/u 8.0) (-115)","49 N RL 9-10 90% H88% retractable","","",3300,11,2700,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
5958,"Valencia","Danny","SEA","1B","OAK",1,4.07,3.71,0.66,0.2,0.01,0.13,0.33,0.95,0.02,0.02,0.41,0.42,0,0.03,0,0.08,2.72,"OAK (Manaea L) R Ord 6","-1.5 (+176) (o/u 8.0) (-115)","49 N RL 9-10 90% H88% retractable","","",3600,15,3300,0,0,0,0,0,0,"1B","3B","1B","1B;3B;DH",NA,NA,NA,NA,NA,0,NA
8635,"Souza","Steven","TB","OF","@ CLE",1,4.14,3.73,0.58,0.16,0.01,0.15,0.34,1.53,0.04,0.03,0.42,0.44,0.05,0.02,0.06,0.03,2.84,"@CLE (Carrasco R) R Ord 5","+1.5 (-153) (o/u 7.5) (+141)","55 O LF 2-6 4% H56%outdoor","","6ab .167/.167/.167 0sb 0hr",2800,14,3800,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
5843,"Flowers","Tyler","ATL","C","@ TOR",1,4.11,3.8,0.66,0.2,0,0.13,0.29,1.29,0.01,0.01,0.43,0.45,0,0.02,0,0.05,2.82,"@TOR (Bolsinger R) R Ord 7","+1.5 (-175) (o/u 9.0) (+122)","49 O RF 4-11 9% H78% retractable","","",2700,15,2900,0,0,0,0,0,0,"C","C","C","C;DH",NA,NA,NA,NA,NA,0,NA
7182,"Simmons","Andrelton","LAA","SS","CHW",1,4.18,3.85,0.85,0.17,0.01,0.05,0.31,0.36,0.07,0.03,0.41,0.4,0,0.02,0,0.08,2.77,"CHW (Pelfrey R) R Ord 7","-1.5 (+121) (o/u 8.5) (-170)","60 O CF 2-8 6% H68%outdoor","","2ab .000/.000/.000 0sb 0hr",2700,9,3100,0,0,0,0,0,0,"SS","SS","SS","SS;DH",NA,NA,NA,NA,NA,0,NA
8513,"Motter","Taylor","SEA","1B/SS","OAK",1,3.96,3.62,0.5,0.22,0.01,0.13,0.32,0.83,0.11,0.05,0.38,0.37,0,0.02,0,0,2.77,"OAK (Manaea L) R Ord 7","-1.5 (+176) (o/u 8.0) (-115)","49 N RL 9-10 90% H88% retractable","","",3000,10,3200,0,0,0,0,0,0,"OF","SS","1B;SS","SS;3B;DH",NA,NA,NA,NA,NA,0,NA
5963,"Nunez","Eduardo","SF","SS/3B","LAD",1,3.83,3.61,0.68,0.19,0.04,0.06,0.18,0.51,0.2,0.05,0.32,0.31,0,0.04,0,0.12,2.65,"LAD (McCarthy R) R Ord 8","","54 O CF 12-22 16% H75%outdoor","","2ab .000/.000/.000 0sb 0hr",2800,7,4000,0,0,0,0,0,0,"3B","3B","SS;3B","SS;3B;DH",NA,NA,NA,NA,NA,0,NA
7436,"Almonte","Abraham","CLE","OF","TB",1,4.05,3.65,0.59,0.22,0.03,0.06,0.36,1.01,0.1,0.02,0.4,0.36,0,0.04,0,0.05,2.75,"TB (Archer R) S Ord 8","-1.5 (+141) (o/u 7.5) (-153)","55 O LF 2-6 4% H56%outdoor","","",2200,7,3200,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
5684,"Rasmus","Colby","TB","OF","@ CLE",1,4.03,3.65,0.47,0.17,0.01,0.16,0.36,1.39,0.02,0.01,0.4,0.38,0,0.02,0,0.03,2.84,"@CLE (Carrasco R) L Ord 6","+1.5 (-153) (o/u 7.5) (+141)","55 O LF 2-6 4% H56%outdoor","","10ab .300/.300/.700 0sb 1hr",3000,11,3800,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
10651,"Swanson","Dansby","ATL","SS","@ TOR",1,4,3.64,0.59,0.19,0.04,0.09,0.32,0.97,0.05,0.02,0.38,0.35,0,0.04,0,0.16,2.73,"@TOR (Bolsinger R) R Ord 8","+1.5 (-175) (o/u 9.0) (+122)","49 O RF 4-11 9% H78% retractable","","",2500,7,3200,0,0,0,0,0,0,"SS","SS","SS","SS;DH",NA,NA,NA,NA,NA,0,NA
9255,"Anderson","Tim","CHW","SS","@ LAA",1,3.96,3.82,0.75,0.17,0.03,0.08,0.11,1.1,0.11,0.03,0.33,0.34,0,0.02,0,0.16,2.79,"@LAA (Chavez R) R Ord 7","+1.5 (-131) (o/u 8.5) (+156)","60 O CF 2-8 6% H68%outdoor","","",2500,10,3400,0,0,0,0,0,0,"SS","SS","SS","SS;DH",NA,NA,NA,NA,NA,0,NA
2520,"Joyce","Matt","OAK","OF","@ SEA",1,4.02,3.43,0.47,0.18,0.01,0.1,0.54,1.07,0.03,0.03,0.4,0.36,0,0.05,0,0.01,2.64,"@SEA (Gallardo R) L Ord 6","+1.5 (-192) (o/u 8.0) (+106)","49 N RL 9-10 90% H88% retractable","","3ab .000/.000/.000 0sb 0hr",3000,9,3200,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
5672,"Plouffe","Trevor","OAK","3B","@ SEA",1,3.92,3.6,0.55,0.18,0.01,0.14,0.28,0.92,0.02,0.01,0.37,0.35,0,0.03,0,0.11,2.69,"@SEA (Gallardo R) R Ord 7","+1.5 (-192) (o/u 8.0) (+106)","49 N RL 9-10 90% H88% retractable","","11ab .273/.273/.818 0sb 2hr",2900,13,3400,0,0,0,0,0,0,"3B","3B","3B","3B;DH",NA,NA,NA,NA,NA,0,NA
9635,"Rivera","T.J.","NYM","1B/3B","@ ARI",1,3.93,3.74,0.78,0.2,0.03,0.08,0.17,0.65,0.02,0.02,0.36,0.35,0,0.02,0,0,2.66,"@ARI (Godley R) R Ord 8","+1.5 (-199) (o/u 9.5) (+103)","71 N LR 7-14 0% H25% retractable","","3ab .333/.333/.667 0sb 0hr",2800,12,3200,0,0,0,0,0,0,"1B","3B","1B;3B","2B;3B;DH",NA,NA,NA,NA,NA,0,NA
7324,"Kiermaier","Kevin","TB","OF","@ CLE",1,3.8,3.51,0.56,0.16,0.04,0.07,0.28,0.88,0.18,0.05,0.31,0.29,0,0.02,0,0.04,2.67,"@CLE (Carrasco R) L Ord 8","+1.5 (-153) (o/u 7.5) (+141)","55 O LF 2-6 4% H56%outdoor","","10ab .000/.000/.000 0sb 0hr",2500,8,3700,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
