"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"OF","Andrew Benintendi",3700,"Pit@Bos 02:05PM ET",6.622,"Bos"
"OF","Curtis Granderson",3700,"Atl@NYM 01:10PM ET",7.616,"NYM"
"1B","Tommy Joseph",3700,"Phi@Cin 04:10PM ET",6.157,"Phi"
"2B/SS","Jose Peraza",3700,"Phi@Cin 04:10PM ET",7.083,"Cin"
"OF","Aaron Altherr",3700,"Phi@Cin 04:10PM ET",5.965,"Phi"
"1B","Joe Mauer",3600,"KC@Min 04:10PM ET",6.955,"Min"
"3B","Nick Castellanos",3600,"Det@CWS 04:10PM ET",7.550,"Det"
"SS","Tim Anderson",3600,"Det@CWS 04:10PM ET",7.444,"CWS"
"SS","Alen Hanson",3600,"Pit@Bos 02:05PM ET",1.815,"Pit"
"2B","Neil Walker",3600,"Atl@NYM 01:10PM ET",7.584,"NYM"
"2B","Scooter Gennett",3600,"Phi@Cin 04:10PM ET",6.599,"Cin"
"2B/OF","Howie Kendrick",3600,"Phi@Cin 04:10PM ET",5.716,"Phi"
"OF","Scott Schebler",3600,"Phi@Cin 04:10PM ET",6.181,"Cin"
"OF","Phillip Ervin",3600,"Phi@Cin 04:10PM ET",0,"Cin"
"2B","Logan Forsythe",3600,"SD@LAD 04:10PM ET",7.929,"LAD"
"OF","Joc Pederson",3600,"SD@LAD 04:10PM ET",6.953,"LAD"
"OF","Jayson Werth",3600,"Mia@Was 01:05PM ET",7.628,"Was"
"OF","Marcell Ozuna",3600,"Mia@Was 01:05PM ET",7.277,"Mia"
"1B","Kennys Vargas",3500,"KC@Min 04:10PM ET",7.213,"Min"
"1B/OF","Brandon Moss",3500,"KC@Min 04:10PM ET",6.922,"KC"
"OF","Alex Gordon",3500,"KC@Min 04:10PM ET",6.398,"KC"
"OF","Robbie Grossman",3500,"KC@Min 04:10PM ET",6.950,"Min"
"OF","Jorge Soler",3500,"KC@Min 04:10PM ET",5.160,"KC"
"1B","Victor Martinez",3500,"Det@CWS 04:10PM ET",7.199,"Det"
"OF","Seth Smith",3500,"Tor@Bal 03:05PM ET",5.737,"Bal"
"2B/OF","Brock Holt",3500,"Pit@Bos 02:05PM ET",5.835,"Bos"
"1B/3B","Travis Shaw",3500,"Col@Mil 02:10PM ET",6.342,"Mil"
"3B/OF","Hernan Perez",3500,"Col@Mil 02:10PM ET",7.252,"Mil"
"OF","Raimel Tapia",3500,"Col@Mil 02:10PM ET",2.864,"Col"
"3B","David Wright",3500,"Atl@NYM 01:10PM ET",7.605,"NYM"
"SS","Asdrubal Cabrera",3500,"Atl@NYM 01:10PM ET",7.259,"NYM"
"OF","Matt Kemp",3500,"Atl@NYM 01:10PM ET",8.261,"Atl"
"1B","Rhys Hoskins",3500,"Phi@Cin 04:10PM ET",0,"Phi"
"3B/SS","Freddy Galvis",3500,"Phi@Cin 04:10PM ET",6.500,"Phi"
"3B/SS","Eugenio Suarez",3500,"Phi@Cin 04:10PM ET",6.850,"Cin"
"OF","Roman Quinn",3500,"Phi@Cin 04:10PM ET",8.667,"Phi"
"3B","Justin Turner",3500,"SD@LAD 04:10PM ET",8.031,"LAD"
"C","J.T. Realmuto",3500,"Mia@Was 01:05PM ET",6.883,"Mia"
"OF","Michael A. Taylor",3500,"Mia@Was 01:05PM ET",5.215,"Was"
"2B/OF","Whit Merrifield",3400,"KC@Min 04:10PM ET",6.926,"KC"
"OF","Eddie Rosario",3400,"KC@Min 04:10PM ET",6.576,"Min"
"OF","Peter O'Brien",3400,"KC@Min 04:10PM ET",3.571,"KC"
"OF","Byron Buxton",3400,"KC@Min 04:10PM ET",6.505,"Min"
"3B/SS","Tyler Saladino",3400,"Det@CWS 04:10PM ET",6.011,"CWS"
"1B","Justin Smoak",3400,"Tor@Bal 03:05PM ET",4.123,"Tor"
"1B","Rowdy Tellez",3400,"Tor@Bal 03:05PM ET",0,"Tor"
"1B/OF","Hyun Soo Kim",3400,"Tor@Bal 03:05PM ET",5.792,"Bal"
"OF","Dalton Pompey",3400,"Tor@Bal 03:05PM ET",1.778,"Tor"
"OF","Josh Bell",3400,"Pit@Bos 02:05PM ET",5.733,"Pit"
"C","Dustin Garneau",3400,"Col@Mil 02:10PM ET",4.375,"Col"
"SS","Orlando Arcia",3400,"Col@Mil 02:10PM ET",6.200,"Mil"
"1B","Lucas Duda",3400,"Atl@NYM 01:10PM ET",6.000,"NYM"
"OF","Jay Bruce",3400,"Atl@NYM 01:10PM ET",7.867,"NYM"
"OF","Ender Inciarte",3400,"Atl@NYM 01:10PM ET",7.374,"Atl"
"OF","Michael Conforto",3400,"Atl@NYM 01:10PM ET",5.358,"NYM"
"SS","Zack Cozart",3400,"Phi@Cin 04:10PM ET",6.944,"Cin"
"C","Yasmani Grandal",3400,"SD@LAD 04:10PM ET",6.613,"LAD"
"OF","Andre Ethier",3400,"SD@LAD 04:10PM ET",2.375,"LAD"
"1B/3B","Ryan Zimmerman",3400,"Mia@Was 01:05PM ET",6.325,"Was"
"2B/3B","Martin Prado",3400,"Mia@Was 01:05PM ET",7.190,"Mia"
"C","Salvador Perez",3300,"KC@Min 04:10PM ET",6.359,"KC"
"2B/3B","Jorge Polanco",3300,"KC@Min 04:10PM ET",6.478,"Min"
"OF","Avisail Garcia",3300,"Det@CWS 04:10PM ET",6.242,"CWS"
"1B","Trey Mancini",3300,"Tor@Bal 03:05PM ET",11.200,"Bal"
"C","Francisco Cervelli",3300,"Pit@Bos 02:05PM ET",5.960,"Pit"
"1B","Mitch Moreland",3300,"Pit@Bos 02:05PM ET",5.627,"Bos"
"1B/3B","David Freese",3300,"Pit@Bos 02:05PM ET",5.936,"Pit"
"1B/OF","Jose Osuna",3300,"Pit@Bos 02:05PM ET",0,"Pit"
"2B/OF","Adam Frazier",3300,"Pit@Bos 02:05PM ET",4.197,"Pit"
"SS","Jordy Mercer",3300,"Pit@Bos 02:05PM ET",6.054,"Pit"
"C","Tom Murphy",3300,"Col@Mil 02:10PM ET",6.286,"Col"
"C","Cameron Rupp",3300,"Phi@Cin 04:10PM ET",6.724,"Phi"
"1B","Christian Walker",3300,"Phi@Cin 04:10PM ET",0,"Cin"
"2B/SS","Arismendy Alcantara",3300,"Phi@Cin 04:10PM ET",2.313,"Cin"
"2B","Chase Utley",3300,"SD@LAD 04:10PM ET",6.446,"LAD"
"OF","Franklin Gutierrez",3300,"SD@LAD 04:10PM ET",5.172,"LAD"
"3B","Mike Moustakas",3200,"KC@Min 04:10PM ET",7.286,"KC"
"3B","Cheslor Cuthbert",3200,"KC@Min 04:10PM ET",6.242,"KC"
"SS","Alcides Escobar",3200,"KC@Min 04:10PM ET",6.136,"KC"
"OF","Paulo Orlando",3200,"KC@Min 04:10PM ET",6.333,"KC"
"OF","Steven Moya",3200,"Det@CWS 04:10PM ET",5.645,"Det"
"OF","Ezequiel Carrera",3200,"Tor@Bal 03:05PM ET",4.849,"Tor"
"1B","John Jaso",3200,"Pit@Bos 02:05PM ET",5.271,"Pit"
