Name_Team,2017-04-02,2017-04-03,2017-04-04,2017-04-05
Kole Calhoun_LAA,NA,7.0,7.0,11.0
Travis Shaw_MIL,NA,12.0,16.0,16.0
Asdrubal Cabrera_NYM,NA,18.0,NA,2.0
Matt Kemp_ATL,NA,5.0,NA,21.0
Abraham Almonte_CLE,NA,18.0,NA,4.0
Freddy Galvis_PHI,NA,21.0,NA,0.0
Eugenio Suarez_CIN,NA,2.0,NA,0.0
Mitch Haniger_SEA,NA,2.0,7.0,11.0
Josh Reddick_HOU,NA,3.0,3.0,5.0
Justin Turner_LAD,NA,19.0,3.0,13.0
J.T. Realmuto_MIA,NA,10.0,NA,23.0
Eddie Rosario_MIN,NA,3.0,NA,5.0
Byron Buxton_MIN,NA,0.0,NA,3.0
Tyler Saladino_CWS,NA,NA,NA,NA
Hyun-Soo Kim_BAL,NA,0.0,NA,NA
Josh Bell_PIT,NA,5.0,NA,0.0
Trevor Plouffe_OAK,NA,5.0,0.0,3.0
C.J. Cron_LAA,NA,5.0,NA,8.0
Cameron Maybin_LAA,NA,0.0,8.0,7.0
Orlando Arcia_MIL,NA,7.0,0.0,8.0
Lucas Duda_NYM,NA,13.0,NA,2.0
Jay Bruce_NYM,NA,10.0,NA,22.0
Ender Inciarte_ATL,NA,0.0,NA,4.0
Jurickson Profar_TEX,NA,0.0,NA,NA
Zack Cozart_CIN,NA,5.0,NA,8.0
Norichika Aoki_HOU,NA,3.0,NA,NA
Yasmani Grandal_LAD,NA,30.0,0.0,0.0
Ryan Zimmerman_WSH,NA,6.0,NA,18.0
Salvador Perez_KC,NA,3.0,NA,2.0
Jorge Polanco_MIN,NA,12.0,NA,NA
Francisco Cervelli_PIT,NA,9.0,NA,3.0
Avisail Garcia_CWS,NA,NA,NA,NA
Mitch Moreland_BOS,NA,0.0,NA,0.0
David Freese_PIT,NA,8.0,NA,5.0
Adam Frazier_PIT,NA,7.0,NA,3.0
Ryon Healy_OAK,NA,0.0,19.0,0.0
Jordy Mercer_PIT,NA,5.0,NA,0.0
Marcus Semien_OAK,NA,4.0,9.0,3.0
Cameron Rupp_PHI,NA,0.0,NA,3.0
Brian McCann_HOU,NA,0.0,14.0,NA
Danny Valencia_SEA,NA,2.0,8.0,0.0
Mike Moustakas_KC,NA,14.0,NA,3.0
Alcides Escobar_KC,NA,0.0,NA,0.0
Paulo Orlando_KC,NA,0.0,NA,5.0
Ezequiel Carrera_TOR,NA,10.0,NA,NA
Nick Markakis_ATL,NA,0.0,NA,12.0
Yan Gomes_CLE,NA,0.0,4.0,NA
Yulieski Gurriel_HOU,NA,0.0,NA,5.0
Leonys Martin_SEA,NA,0.0,0.0,12.0
Ryan Schimpf_SD,NA,17.0,5.0,0.0
Matt Wieters_WSH,NA,5.0,NA,17.0
Justin Bour_MIA,NA,0.0,NA,2.0
J.J. Hardy_BAL,NA,0.0,NA,0.0
Stephen Vogt_OAK,NA,17.0,0.0,5.0
Mark Reynolds_COL,NA,27.0,12.0,10.0
Brandon Phillips_ATL,NA,3.0,NA,5.0
Yangervis Solarte_SD,NA,5.0,19.0,0.0
Manuel Margot_SD,NA,7.0,13.0,2.0
Derek Dietrich_MIA,NA,0.0,NA,4.0
Yunel Escobar_LAA,NA,6.0,5.0,4.0
Adonis Garcia_ATL,NA,0.0,NA,9.0
Dansby Swanson_ATL,NA,3.0,NA,3.0
Yandy Diaz_CLE,NA,7.0,0.0,10.0
Jarrod Dyson_SEA,NA,0.0,5.0,8.0
Hunter Renfroe_SD,NA,0.0,3.0,14.0
Sandy Leon_BOS,NA,8.0,NA,26.0
Andrelton Simmons_LAA,NA,5.0,7.0,12.0
Tony Wolters_COL,NA,10.0,2.0,0.0
Mike Zunino_SEA,NA,0.0,3.0,5.0
Andrew Toles_LAD,NA,8.0,NA,2.0
Jason Castro_MIN,NA,12.0,NA,12.0
Yonder Alonso_OAK,NA,7.0,7.0,3.0
Danny Espinosa_LAA,NA,0.0,18.0,9.0
Stephen Drew_WSH,NA,0.0,NA,NA
James McCann_DET,NA,NA,NA,NA
JaCoby Jones_DET,NA,NA,NA,NA
Jed Lowrie_OAK,NA,8.0,24.0,0.0
Jett Bandy_MIL,NA,5.0,6.0,NA
Tucker Barnhart_CIN,NA,5.0,NA,5.0
Travis Jankowski_SD,NA,5.0,4.0,2.0
Mikie Mahtook_DET,NA,NA,NA,NA
Tyler Flowers_ATL,NA,3.0,NA,NA
