Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Name.Clean,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
5.0,Eddie,0.0,GB@Min 08:30PM ET,7395484,Lacy,Eddie Lacy,Eddie Lacy (7395484),Eddie Lacy,MIN,RB,12.7,12.9,12.9,14.9,13.3715836258,,6.0,0.0540540540541,6000,GB,5.0,0.0
21.4,Jimmy,0.0,Mia@NE 01:00PM ET,7395315,Garoppolo,Jimmy Garoppolo,Jimmy Garoppolo (7395315),Jimmy Garoppolo,MIA,QB,16.23,19.5,19.5,18.36,18.5602456128,,7.0,0.0277777777778,5900,NE,4.0,0.0
2.3,Doug,1.0,TB@Ari 04:05PM ET,7395448,Martin,Doug Martin,Doug Martin (7395448),Doug Martin,ARI,RB,13.26,12.8,12.8,17.14,13.6345997735,,3.0,0.161290322581,5900,TB,5.0,0.0
8.8,Michael,0.0,TB@Ari 04:05PM ET,7395590,Floyd,Michael Floyd,Michael Floyd (7395590),Michael Floyd,TB,WR,14.33,13.5,13.5,15.01,14.5722756109,,2.0,0.205128205128,5900,ARI,4.0,0.0
18.3,Dak,0.0,Dal@Was 01:00PM ET,7395300,Prescott,Dak Prescott,Dak Prescott (7395300),Dak Prescott,WAS,QB,17.94,17.3,17.3,15.55,18.4381940638,,0.0,0.0,5800,DAL,7.0,0.0
16.4,Willie,1.0,NO@NYG 01:00PM ET,7395526,Snead,Willie Snead,Willie Snead (7395526),Willie Snead,NYG,WR,13.56,15.4,15.4,15.61,15.0712906802,,2.0,0.214285714286,5800,NO,4.0,0.0
21.5,DeMarco,1.0,Ten@Det 01:00PM ET,7395420,Murray,DeMarco Murray,DeMarco Murray (7395420),DeMarco Murray,DET,RB,14.75,12.2,12.2,13.59,14.1713469224,,2.0,0.175,5700,TEN,6.0,0.0
22.1,Latavius,1.0,Atl@Oak 04:25PM ET,7395465,Murray,Latavius Murray,Latavius Murray (7395465),Latavius Murray,ATL,RB,15.07,13.3,13.3,15.95,14.8866967298,,6.0,0.0487804878049,5700,OAK,4.0,0.0
26.2,Greg,1.0,SF@Car 01:00PM ET,7395644,Olsen,Greg Olsen,Greg Olsen (7395644),Greg Olsen,SF,TE,16.71,15.0,15.0,15.01,16.6301083519,,2.0,0.28125,5600,CAR,1.0,0.0
6.0,Rashad,0.0,NO@NYG 01:00PM ET,7395389,Jennings,Rashad Jennings,Rashad Jennings (7395389),Rashad Jennings,NO,RB,15.26,13.7,13.7,16.59,15.187829926,,6.0,0.0714285714286,5600,NYG,4.0,0.0
28.1,Ryan,0.0,Mia@NE 01:00PM ET,7395314,Tannehill,Ryan Tannehill,Ryan Tannehill (7395314),Ryan Tannehill,NE,QB,15.6,16.8,16.8,16.65,16.8909552033,,0.0,0.0,5600,MIA,8.0,0.0
