"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"QB","Matt Cassel (0000000)","Matt Cassel",0,5000,"Ten@Mia 00:00PM ET","Ten","Matt","Cassel","Mia",0,0,0,0,0
"QB","Matt Moore (0000000)","Matt Moore",0,5000,"Ten@Mia 00:00PM ET","Mia","Matt","Moore","Ten",0,0,0,0,0
"WR","DeVante Parker (0000000)","DeVante Parker",0,5000,"Ten@Mia 00:00PM ET","Mia","DeVante","Parker","Ten",12.35,12.9,2,0.165413533834586,1
"QB","Colt McCoy (0000000)","Colt McCoy",0,5000,"Was@Bal 00:00PM ET","Was","Colt","McCoy","Bal",0,0,0,0,0
"QB","Ryan Mallett (0000000)","Ryan Mallett",0,5000,"Was@Bal 00:00PM ET","Bal","Ryan","Mallett","Was",0,0,0,0,0
"QB","Nate Sudfeld (0000000)","Nate Sudfeld",0,5000,"Was@Bal 00:00PM ET","Was","Nate","Sudfeld","Bal",0,0,0,0,0
"QB","Shaun Hill (0000000)","Shaun Hill",0,5000,"Hou@Min 00:00PM ET","Min","Shaun","Hill","Hou",0,0,0,0,0
"QB","Brandon Weeden (0000000)","Brandon Weeden",0,5000,"Hou@Min 00:00PM ET","Hou","Brandon","Weeden","Min",0,0,0,0,0
"QB","Tom Savage (0000000)","Tom Savage",0,5000,"Hou@Min 00:00PM ET","Hou","Tom","Savage","Min",0,0,0,0,0
"QB","Landry Jones (0000000)","Landry Jones",0,5000,"NYJ@Pit 00:00PM ET","Pit","Landry","Jones","NYJ",0,0,0,0,0
"QB","Zach Mettenberger (0000000)","Zach Mettenberger",0,5000,"NYJ@Pit 00:00PM ET","Pit","Zach","Mettenberger","NYJ",0,0,0,0,0
"QB","Bryce Petty (0000000)","Bryce Petty",0,5000,"NYJ@Pit 00:00PM ET","NYJ","Bryce","Petty","Pit",0,0,0,0,0
"QB","Geno Smith (0000000)","Geno Smith",0,5000,"NYJ@Pit 00:00PM ET","NYJ","Geno","Smith","Pit",0,0,0,0,0
"QB","Christian Hackenberg (0000000)","Christian Hackenberg",0,5000,"NYJ@Pit 00:00PM ET","NYJ","Christian","Hackenberg","Pit",0,0,0,0,0
"QB","Matt Schaub (0000000)","Matt Schaub",0,5000,"Atl@Den 00:00PM ET","Atl","Matt","Schaub","Den",0,0,0,0,0
"QB","Austin Davis (0000000)","Austin Davis",0,5000,"Atl@Den 00:00PM ET","Den","Austin","Davis","Atl",0,0,0,0,0
"RB","Devonta Freeman (0000000)","Devonta Freeman",0,5000,"Atl@Den 00:00PM ET","Atl","Devonta","Freeman","Den",11.88,12.6,5,0.079136690647482,0
"QB","Mark Sanchez (0000000)","Mark Sanchez",0,5000,"Cin@Dal 00:00PM ET","Dal","Mark","Sanchez","Cin",0,1.5,0,0,0
"QB","AJ McCarron (0000000)","AJ McCarron",0,5000,"Cin@Dal 00:00PM ET","Cin","AJ","McCarron","Dal",0,0,0,0,0
"QB","Jeff Driskel (0000000)","Jeff Driskel",0,5000,"Cin@Dal 00:00PM ET","Cin","Jeff","Driskel","Dal",0,0,0,0,0
"QB","Case Keenum (0000000)","Case Keenum",0,5000,"Buf@LA 00:00PM ET","LA","Case","Keenum","Buf",12.13,12.8,0,0,0
"QB","EJ Manuel (0000000)","EJ Manuel",0,5000,"Buf@LA 00:00PM ET","Buf","EJ","Manuel","LA",0,0,0,0,0
"QB","Sean Mannion (0000000)","Sean Mannion",0,5000,"Buf@LA 00:00PM ET","LA","Sean","Mannion","Buf",0,0,0,0,0
"QB","Cardale Jones (0000000)","Cardale Jones",0,5000,"Buf@LA 00:00PM ET","Buf","Cardale","Jones","LA",0,0,0,0,0
"QB","Jared Goff (0000000)","Jared Goff",0,5000,"Buf@LA 00:00PM ET","LA","Jared","Goff","Buf",0,0,0,0,0
"QB","Drew Stanton (0000000)","Drew Stanton",0,5000,"Ari@SF 00:00PM ET","Ari","Drew","Stanton","SF",14.39,17.5,0,0,0
"QB","Matt McGloin (0000000)","Matt McGloin",0,5000,"SD@Oak 00:00PM ET","Oak","Matt","McGloin","SD",0,0,0,0,0
"QB","Connor Cook (0000000)","Connor Cook",0,5000,"SD@Oak 00:00PM ET","Oak","Connor","Cook","SD",0,0,0,0,0
"QB","Josh Johnson (0000000)","Josh Johnson",0,5000,"NYG@GB 00:00PM ET","NYG","Josh","Johnson","GB",0,0,0,0,0
"QB","Ryan Nassib (0000000)","Ryan Nassib",0,5000,"NYG@GB 00:00PM ET","NYG","Ryan","Nassib","GB",0,0,0,0,0
"QB","Brett Hundley (0000000)","Brett Hundley",0,5000,"NYG@GB 00:00PM ET","GB","Brett","Hundley","NYG",0,0,0,0,0
"QB","Joe Callahan (0000000)","Joe Callahan",0,5000,"NYG@GB 00:00PM ET","GB","Joe","Callahan","NYG",0,0,0,0,0
"QB","Joe Webb (0000000)","Joe Webb",0,5000,"TB@Car 00:00PM ET","Car","Joe","Webb","TB",0,0,10,0.0062111801242236,0
"QB","Mike Glennon (0000000)","Mike Glennon",0,5000,"TB@Car 00:00PM ET","TB","Mike","Glennon","Car",0,0,0,0,0
"QB","Ryan Griffin (0000000)","Ryan Griffin",0,5000,"TB@Car 00:00PM ET","TB","Ryan","Griffin","Car",0,0,0,0,0
"QB","Kellen Clemens (0000000)","Kellen Clemens",0,5000,"SD@Oak 00:00PM ET","SD","Kellen","Clemens","Oak",0,0,0,0,0
"WR","Michael Floyd (0000000)","Michael Floyd",0,4900,"Ari@SF 00:00PM ET","Ari","Michael","Floyd","SF",11.38,9.5,3,0.173652694610778,0
"WR","Golden Tate (0000000)","Golden Tate",0,4900,"Phi@Det 00:00PM ET","Det","Golden","Tate","Phi",9.39,12.8,2,0.175,0
"RB","Theo Riddick (0000000)","Theo Riddick",0,4900,"Phi@Det 00:00PM ET","Det","Theo","Riddick","Phi",12.69,14.4,3,0.16875,0
"RB","Isaiah Crowell (0000000)","Isaiah Crowell",0,4800,"NE@Cle 00:00PM ET","Cle","Isaiah","Crowell","NE",13.14,9.8,6,0.0638297872340425,0
"WR","Phillip Dorsett (0000000)","Phillip Dorsett",0,4800,"Chi@Ind 00:00PM ET","Ind","Phillip","Dorsett","Chi",9.29,22.05,6,0.0994152046783626,0
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4800,"Atl@Den 00:00PM ET","Atl","Mohamed","Sanu","Den",9.08,9.9,2,0.151079136690647,1
"RB","Carlos Hyde (0000000)","Carlos Hyde",0,4800,"Ari@SF 00:00PM ET","SF","Carlos","Hyde","Ari",13.88,11.5,5,0.0672268907563025,0
"RB","Terrance West (0000000)","Terrance West",0,4800,"Was@Bal 00:00PM ET","Bal","Terrance","West","Was",12.51,12.2,8,0.0432098765432099,0
"WR","Tyrell Williams (0000000)","Tyrell Williams",0,4700,"SD@Oak 00:00PM ET","SD","Tyrell","Williams","Oak",12.31,16.8,2,0.183673469387755,0
"RB","Arian Foster (0000000)","Arian Foster",0,4700,"Ten@Mia 00:00PM ET","Mia","Arian","Foster","Ten",0,0,8,0.037593984962406,0
"TE","Delanie Walker (0000000)","Delanie Walker",0,4700,"Ten@Mia 00:00PM ET","Ten","Delanie","Walker","Mia",13.93,11.6,4,0.135714285714286,0
"WR","Quincy Enunwa (0000000)","Quincy Enunwa",0,4600,"NYJ@Pit 00:00PM ET","NYJ","Quincy","Enunwa","Pit",14.36,19.05,2,0.215686274509804,0
"WR","Corey Coleman (0000000)","Corey Coleman",0,4600,"NE@Cle 00:00PM ET","Cle","Corey","Coleman","NE",0,0,5,0.0851063829787234,1
"WR","Jamison Crowder (0000000)","Jamison Crowder",0,4600,"Was@Bal 00:00PM ET","Was","Jamison","Crowder","Bal",10.8,14.85,3,0.175324675324675,0
"RB","Ryan Mathews (0000000)","Ryan Mathews",0,4600,"Phi@Det 00:00PM ET","Phi","Ryan","Mathews","Det",11.49,10.9,8,0.0104166666666667,0
"RB","Jonathan Stewart (0000000)","Jonathan Stewart",0,4500,"TB@Car 00:00PM ET","Car","Jonathan","Stewart","TB",0,0,9,0.0248447204968944,0
"WR","Victor Cruz (0000000)","Victor Cruz",0,4500,"NYG@GB 00:00PM ET","NYG","Victor","Cruz","GB",9.78,12.45,3,0.158227848101266,0
"RB","Matt Jones (0000000)","Matt Jones",0,4500,"Was@Bal 00:00PM ET","Was","Matt","Jones","Bal",11.85,9.5,6,0.0454545454545455,0
"RB","Rashad Jennings (0000000)","Rashad Jennings",0,4500,"NYG@GB 00:00PM ET","NYG","Rashad","Jennings","GB",0,11.4,8,0.0253164556962025,0
"TE","Jason Witten (0000000)","Jason Witten",0,4400,"Cin@Dal 00:00PM ET","Dal","Jason","Witten","Cin",10.25,11.2,2,0.220588235294118,0
"WR","John Brown (0000000)","John Brown",0,4400,"Ari@SF 00:00PM ET","Ari","John","Brown","SF",11.86,20.85,2,0.197604790419162,1
"WR","Tajae Sharpe (0000000)","Tajae Sharpe",0,4400,"Ten@Mia 00:00PM ET","Ten","Tajae","Sharpe","Mia",10.75,15.6,1,0.25,0
"RB","Giovani Bernard (0000000)","Giovani Bernard",0,4400,"Cin@Dal 00:00PM ET","Cin","Giovani","Bernard","Dal",11.1,11.6,2,0.182432432432432,0
"WR","Cole Beasley (0000000)","Cole Beasley",0,4300,"Cin@Dal 00:00PM ET","Dal","Cole","Beasley","Cin",12.1,15.75,1,0.227941176470588,0
"RB","Jeremy Langford (0000000)","Jeremy Langford",0,4300,"Chi@Ind 00:00PM ET","Chi","Jeremy","Langford","Ind",0,0,6,0.0704225352112676,0
"RB","Darren Sproles (0000000)","Darren Sproles",0,4300,"Phi@Det 00:00PM ET","Phi","Darren","Sproles","Det",9.76,10,3,0.135416666666667,0
"TE","Tyler Eifert (0000000)","Tyler Eifert",0,4200,"Cin@Dal 00:00PM ET","Cin","Tyler","Eifert","Dal",0,0,10,0,0
"RB","Latavius Murray (0000000)","Latavius Murray",0,4200,"SD@Oak 00:00PM ET","Oak","Latavius","Murray","SD",0,0,5,0.0745341614906832,0
"WR","Eddie Royal (0000000)","Eddie Royal",0,4200,"Chi@Ind 00:00PM ET","Chi","Eddie","Royal","Ind",11.82,18.75,3,0.154929577464789,1
"RB","Jeremy Hill (0000000)","Jeremy Hill",0,4200,"Cin@Dal 00:00PM ET","Cin","Jeremy","Hill","Dal",11.56,11.4,6,0.0405405405405405,0
"WR","Chris Hogan (0000000)","Chris Hogan",0,4100,"NE@Cle 00:00PM ET","NE","Chris","Hogan","Cle",9.51,11.25,4,0.128,0
