"Name","Salary","Team","Position","OppTeam","Projections"
"Stephen Drew",3200,"WAS","3B/SS","LAA",5.95
"Bryce Harper",5500,"WAS","OF","LAA",10.14
"Brian Goodwin",4100,"WAS","OF","LAA",6.98
"Alex Gordon",2100,"KCR","OF","DET",4.89
"Salvador Perez",3700,"KCR","C","DET",6.01
"Alex Avila",3500,"DET","1B/C","KCR",6.51
"Jose Iglesias",3300,"DET","SS","KCR",5.15
"Miguel Cabrera",4000,"DET","1B","KCR",7.26
"Victor Martinez",3200,"DET","1B","KCR",6.91
"Mike Moustakas",3600,"KCR","3B","DET",6.86
"Eric Hosmer",3900,"KCR","1B","DET",6.46
"Lorenzo Cain",3300,"KCR","OF","DET",5.9
"Ryan Zimmerman",4000,"WAS","1B","LAA",7
"Daniel Murphy",5000,"WAS","2B","LAA",9.07
"Nick Franklin",2900,"LAA","OF","WAS",4.71
"Martin Maldonado",2600,"LAA","C","WAS",4.74
"Luis Valbuena",2800,"LAA","1B/3B","WAS",4.01
"C.J. Cron",3100,"LAA","1B","WAS",5.32
"Chris Heisey",2500,"WAS","OF","LAA",4.92
"Adam Lind",3700,"WAS","1B","LAA",5.84
"Cliff Pennington",2100,"LAA","2B/3B","WAS",4.71
"Andrelton Simmons",3600,"LAA","SS","WAS",5.56
"Yunel Escobar",3200,"LAA","3B","WAS",5.96
"Ryan Raburn",3300,"WAS","OF","LAA",5.15
"Anthony Rendon",5000,"WAS","3B","LAA",7.79
"Matt Wieters",3100,"WAS","C","LAA",5.58
"Kole Calhoun",3300,"LAA","OF","WAS",5.32
"Albert Pujols",3300,"LAA","1B","WAS",5.96
"Mike Trout",5300,"LAA","OF","WAS",9.28
"Ian Kinsler",3900,"DET","2B","KCR",7.11
"Justin Upton",3900,"DET","OF","KCR",7.65
"Christopher Taylor",4200,"LAD","2B/OF","CHW",8.34
"Logan Forsythe",3600,"LAD","2B/3B","CHW",7.93
"Brock Holt",3300,"BOS","2B/OF","TOR",5.35
"Corey Seager",4800,"LAD","SS","CHW",6.53
"Yasiel Puig",4300,"LAD","OF","CHW",6.21
"Cody Bellinger",5000,"LAD","1B/OF","CHW",7.16
"Yasmani Grandal",3700,"LAD","C","CHW",6
"Sandy Leon",2500,"BOS","C","TOR",5.55
"Hanley Ramirez",3800,"BOS","1B","TOR",7.18
"Jackie Bradley",3400,"BOS","OF","TOR",6.3
"Mookie Betts",5200,"BOS","OF","TOR",9.07
"Mitch Moreland",3700,"BOS","1B","TOR",6.99
"Deven Marrero",3400,"BOS","3B","TOR",5.03
"Xander Bogaerts",3900,"BOS","SS","TOR",7.3
"Andrew Benintendi",3800,"BOS","OF","TOR",8.6
"Christian Vazquez",2700,"BOS","C","TOR",5.05
"Joc Pederson",3900,"LAD","OF","CHW",5.24
"Justin Turner",4600,"LAD","3B","CHW",9.61
"Austin Barnes",3400,"LAD","C","CHW",5.96
"Matt Davidson",3500,"CHW","1B/3B","LAD",6.05
"Tyler Saladino",2800,"CHW","2B/SS","LAD",5.02
"Trayce Thompson",3100,"LAD","OF","CHW",5.34
"Mikie Mahtook",3300,"DET","OF","KCR",5.85
"Nick Castellanos",3600,"DET","3B","KCR",7.12
"Alex Presley",2800,"DET","OF","KCR",5.47
"Omar Narvaez",2700,"CHW","C","LAD",3.83
"Jose Abreu",4100,"CHW","1B","LAD",7.52
"Timothy Anderson",3200,"CHW","SS","LAD",5.69
"Enrique Hernandez",3100,"LAD","OF/SS","CHW",5.64
"Melky Cabrera",3700,"CHW","OF","LAD",6.86
"Yoan Moncada",3400,"CHW","2B/3B","LAD",5.85
"Adam Engel",3000,"CHW","OF","LAD",4.96
"Avisail Garcia",3600,"CHW","OF","LAD",5.76
"Adrian Beltre",4200,"TEX","3B","BAL",8.66
"Jonathan Lucroy",3300,"TEX","C","BAL",5.71
"Miguel Sano",4100,"MIN","3B","NYY",8.9
"Brian Dozier",4600,"MIN","2B","NYY",8.02
"Ji-Man Choi",3200,"NYY","1B/OF","MIN",5.05
"Kennys Vargas",3800,"MIN","1B","NYY",5.88
"Jason Castro",2800,"MIN","C","NYY",4.3
"Max Kepler",4100,"MIN","OF","NYY",5.67
"Eddie Rosario",3600,"MIN","OF","NYY",5.44
"Starlin Castro",3300,"NYY","2B","MIN",5.86
"Brett Gardner",4300,"NYY","OF","MIN",7.95
"Jacoby Ellsbury",3500,"NYY","OF","MIN",6.79
"Clint Frazier",4000,"NYY","OF","MIN",6.07
"Chase Headley",3700,"NYY","3B","MIN",5.93
"Didi Gregorius",3400,"NYY","SS","MIN",7.2
"Aaron Judge",5300,"NYY","OF","MIN",9.3
"Matt Holliday",3600,"NYY","1B","MIN",6.51
"Gary Sanchez",4500,"NYY","C","MIN",7.58
"Eduardo Escobar",3600,"MIN","3B/SS","NYY",5.73
"Robbie Grossman",3700,"MIN","OF","NYY",6.63
"Danny Valencia",3400,"SEA","1B","HOU",5.76
"Mitch Haniger",3100,"SEA","OF","HOU",5.74
"Kyle Seager",4000,"SEA","3B","HOU",6.83
"Robinson Cano",4700,"SEA","2B","HOU",7.96
"Josh Reddick",3900,"HOU","OF","SEA",5.47
"Carlos Beltran",3800,"HOU","OF","SEA",6.5
"George Springer",5200,"HOU","OF","SEA",10.18
"Nelson Cruz",4700,"SEA","OF","HOU",7.87
"Jarrod Dyson",3900,"SEA","OF","HOU",5.31
"Zachary Granite",3000,"MIN","OF","NYY",4.17
"Chris Gimenez",2800,"MIN","C","NYY",5.35
"Jorge Polanco",3000,"MIN","SS","NYY",5.83
"Joe Mauer",3700,"MIN","1B","NYY",5.53
"Mike Zunino",3200,"SEA","C","HOU",5.03
"Jean Segura",4300,"SEA","SS","HOU",6.68
"Benjamin Gamel",3500,"SEA","OF","HOU",6.11
