"Name","Salary","Team","Position","OppTeam","Projections","NA","NA","NA","NA","NA","NA","NA"
"player_id","stat_id","name","team","pos","home_moneyline","away_moneyline","home_total","away_total","opp","order","rpos","fpts"
"10760","445276","Kenley Jansen","LAD","RP","-140","130","4.05","3.45","STL","","","0"
"10763","276542","Joaquin Benoit","PHI","RP","106","-116","4.14","4.36","COL","","","0"
"10780","502026","Jeremy Jeffress","TEX","RP","-184","174","5.24","3.76","BOS","","","0"
"10783","502381","Luke Gregerson","HOU","RP","-119","109","4.65","4.35","DET","","","0"
"10785","462382","Jim Johnson","ATL","RP","110","-120","4.34","4.66","PIT","","","0"
"10804","435400","Jason Motte","ATL","RP","110","-120","4.34","4.66","PIT","","","0"
"10816","460283","Jerry Blevins","NYM","RP","-210","194","4.51","2.99","SDP","","","0"
"10826","448609","Tony Sipp","HOU","RP","-119","109","4.65","4.35","DET","","","0"
"10827","502188","Jeff Samardzija","SFG","SP","-111","101","0","0","CHC","9B","P","0"
"10834","457429","Boone Logan","CLE","RP","-200","185","5.64","3.86","CIN","","","0"
"10846","489265","Sergio Romo","LAD","RP","-140","130","4.05","3.45","STL","","","0"
"10863","493247","Peter Moylan","KCR","RP","-178","168","4.91","3.59","NYY","","","0"
"10882","467008","Pedro Strop","CHC","RP","-111","101","0","0","SFG","","","0"
"10884","459429","Jake McGee","COL","RP","106","-116","4.14","4.36","PHI","","","0"
"10890","455374","Antonio Bastardo","PIT","RP","110","-120","4.34","4.66","ATL","","","0"
"10893","452252","Adam Lind","WAS","1B","-143","133","5.16","4.34","SEA","","","0"
"10905","477132","Clayton Kershaw","LAD","SP","-140","130","4.05","3.45","STL","","","0"
"10906","450308","Jered Weaver","SDP","SP","-210","194","4.51","2.99","NYM","","","0"
"10908","434378","Justin Verlander","DET","SP","-119","109","4.65","4.35","HOU","","","0"
"10911","451596","Yovani Gallardo","SEA","SP","-143","133","5.16","4.34","WAS","","","0"
"10919","490063","Matt Garza","MIL","SP","-101","-109","4.44","4.56","ARI","","","0"
"10920","448802","Jaime Garcia","ATL","SP","110","-120","4.34","4.66","PIT","","","0"
"10921","276520","Bronson Arroyo","CIN","SP","-200","185","5.64","3.86","CLE","","","0"
"10924","468504","Jhoulys Chacin","SDP","SP","-210","194","4.51","2.99","NYM","","","0"
"10925","461829","Gio Gonzalez","WAS","SP","-143","133","5.16","4.34","SEA","9B","P","0"
"10927","453329","Clay Buchholz","PHI","SP","106","-116","4.14","4.36","COL","","","0"
"10931","451584","Wade Davis","CHC","RP","-111","101","0","0","SFG","","","0"
"10932","518516","Madison Bumgarner","SFG","SP","-111","101","0","0","CHC","","","0"
"10933","488846","Brian Duensing","CHC","RP","-111","101","0","0","SFG","","","0"
"10934","453286","Max Scherzer","WAS","SP","-143","133","5.16","4.34","SEA","","","0"
"10935","446399","Brett Cecil","STL","RP","-140","130","4.05","3.45","LAD","","","0"
"10937","519455","Jordan Zimmermann","DET","SP","-119","109","4.65","4.35","HOU","","","0"
"10939","285079","R.A. Dickey","ATL","SP","110","-120","4.34","4.66","PIT","","","0"
"10942","431148","Scott Kazmir","LAD","SP","-140","130","4.05","3.45","STL","","","0"
"10952","472551","Fernando Abad","BOS","RP","-184","174","5.24","3.76","TEX","","","0"
"10954","433587","Felix Hernandez","SEA","SP","-143","133","5.16","4.34","WAS","","","0"
"10964","453178","Ian Kennedy","KCR","SP","-178","168","4.91","3.59","NYY","","","0"
"10965","456034","David Price","BOS","SP","-184","174","5.24","3.76","TEX","","","0"
"10967","502239","Trevor Cahill","SDP","SP","-210","194","4.51","2.99","NYM","","","0"
"10969","452657","Jon Lester","CHC","SP","-111","101","0","0","SFG","","","0"
"10976","519242","Chris Sale","BOS","SP","-184","174","5.24","3.76","TEX","","","0"
"10980","519144","Rick Porcello","BOS","SP","-184","174","5.24","3.76","TEX","","","0"
"10981","467100","Ivan Nova","PIT","SP","110","-120","4.34","4.66","ATL","9B","P","0"
"10982","453562","Jake Arrieta","CHC","SP","-111","101","0","0","SFG","","","0"
"10985","450203","Charlie Morton","HOU","SP","-119","109","4.65","4.35","DET","","","0"
"10996","430935","Cole Hamels","TEX","SP","-184","174","5.24","3.76","BOS","","","0"
"10997","434671","Anibal Sanchez","DET","SP","-119","109","4.65","4.35","HOU","","","0"
"11000","502190","Mike Leake","STL","SP","-140","130","4.05","3.45","LAD","","","0"
"11005","458708","Josh Tomlin","CLE","SP","-200","185","5.64","3.86","CIN","","","0"
"11010","432934","Chris Young","KCR","SP","-178","168","4.91","3.59","NYY","","","0"
"11012","476451","Jeremy Hellickson","PHI","SP","106","-116","4.14","4.36","COL","","","0"
"11015","488768","Andrew Cashner","TEX","SP","-184","174","5.24","3.76","BOS","","","0"
"11022","502032","Bud Norris","LAA","SP","-128","118","4.48","4.02","TBR","","","0"
"11025","430599","Joe Blanton","WAS","RP","-143","133","5.16","4.34","SEA","","","0"
"11026","453281","Wade LeBlanc","PIT","SP","110","-120","4.34","4.66","ATL","","","0"
"11028","434628","Jason Hammel","KCR","SP","-178","168","4.91","3.59","NYY","","","0"
"11029","501985","Mike Minor","KCR","SP","-178","168","4.91","3.59","NYY","","","0"
"11040","435221","Brandon McCarthy","LAD","SP","-140","130","4.05","3.45","STL","","","0"
"11043","475115","Tyson Ross","TEX","SP","-184","174","5.24","3.76","BOS","","","0"
"11064","518960","Jonathan Lucroy","TEX","C","-184","174","5.24","3.76","BOS","4B","X","0"
"11072","543022","Tyler Chatwood","COL","SP","106","-116","4.14","4.36","PHI","","","0"
"11080","477569","Fernando Salas","NYM","RP","-210","194","4.51","2.99","SDP","","","0"
"11088","502028","Blake Wood","CIN","RP","-200","185","5.64","3.86","CLE","","","0"
"11092","518567","Josh Collmenter","ATL","SP","110","-120","4.34","4.66","PIT","","","0"
"11094","572308","Jose Valdez","SDP","RP","-210","194","4.51","2.99","NYM","","","0"
"11105","491646","Jeanmar Gomez","PHI","RP","106","-116","4.14","4.36","COL","","","0"
"11113","457759","Justin Turner","LAD","3B","-140","130","4.05","3.45","STL","","","0"
"11145","518715","Cory Gearrin","SFG","RP","-111","101","0","0","CHC","","","0"
"11146","506560","Alexi Amarista","COL","OF/SS","106","-116","4.14","4.36","PHI","","","0"
"11156","465041","Francisco Cervelli","PIT","C","110","-120","4.34","4.66","ATL","6B","X","0"
"11168","502171","Alex Cobb","TBR","SP","-128","118","4.48","4.02","LAA","","","0"
"11175","425844","Zack Greinke","ARI","SP","-101","-109","4.44","4.56","MIL","","","0"
"11181","523253","Logan Forsythe","LAD","2B/3B","-140","130","4.05","3.45","STL","1B","X","0"
"11183","425784","Rene Rivera","NYM","C","-210","194","4.51","2.99","SDP","8B","C","0"
"11184","543333","Eric Hosmer","KCR","1B","-178","168","4.91","3.59","NYY","4B","X","0"
"11185","519184","Ben Revere","LAA","OF","-128","118","4.48","4.02","TBR","","","0"
"11187","448179","Rich Hill","LAD","SP","-140","130","4.05","3.45","STL","","","0"
"11190","446386","Brandon Guyer","CLE","OF","-200","185","5.64","3.86","CIN","","","0"
"11191","527054","Julio Teheran","ATL","SP","110","-120","4.34","4.66","PIT","","","0"
"11193","456501","Johnny Cueto","SFG","SP","-111","101","0","0","CHC","","","0"
"11198","578428","Jose Iglesias","DET","SS","-119","109","4.65","4.35","HOU","9B","SS","0"
"11223","519346","Eric Thames","MIL","1B","-101","-109","4.44","4.56","ARI","2B","X","0"
"11224","518633","Danny Duffy","KCR","SP","-178","168","4.91","3.59","NYY","","","0"
"11229","429711","Franklin Gutierrez","LAD","OF","-140","130","4.05","3.45","STL","","","0"
