Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
0.0,Matt,SF@Mia 01:00PM ET,7809630,Moore,Matt Moore,Matt Moore (7809630),SF,QB,0.0,0.0,0.0,0.0,5000,MIA,0.0,0.0
0.0,Christian,SF@Mia 01:00PM ET,7809632,Ponder,Christian Ponder,Christian Ponder (7809632),MIA,QB,0.0,0.0,0.0,0.0,5000,SF,0.0,0.0
0.0,Blaine,SF@Mia 01:00PM ET,7809634,Gabbert,Blaine Gabbert,Blaine Gabbert (7809634),MIA,QB,0.0,0.0,14.0,0.00322580645161,5000,SF,0.0,0.0
0.0,Kellen,SD@Hou 01:00PM ET,7809635,Clemens,Kellen Clemens,Kellen Clemens (7809635),HOU,QB,0.0,0.0,0.0,0.0,5000,SD,0.0,0.0
0.0,Brandon,SD@Hou 01:00PM ET,7809637,Weeden,Brandon Weeden,Brandon Weeden (7809637),SD,QB,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
0.0,Tom,SD@Hou 01:00PM ET,7809639,Savage,Tom Savage,Tom Savage (7809639),SD,QB,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
0.0,Mike,Sea@TB 04:05PM ET,7809641,Glennon,Mike Glennon,Mike Glennon (7809641),SEA,QB,0.0,0.0,0.0,0.0,5000,TB,0.0,0.0
0.0,Ryan,Sea@TB 04:05PM ET,7809642,Griffin,Ryan Griffin,Ryan Griffin (7809642),SEA,QB,0.0,0.0,4.0,0.128415300546,5000,TB,0.0,0.0
0.0,Trevone,Sea@TB 04:05PM ET,7809643,Boykin,Trevone Boykin,Trevone Boykin (7809643),TB,QB,0.0,0.0,0.0,0.0,5000,SEA,0.0,0.0
0.0,Derek,Car@Oak 04:25PM ET,7809645,Anderson,Derek Anderson,Derek Anderson (7809645),OAK,QB,0.0,0.0,0.0,0.0,5000,CAR,0.0,0.0
0.0,Joe,Car@Oak 04:25PM ET,7809646,Webb,Joe Webb,Joe Webb (7809646),OAK,QB,0.0,0.0,10.0,0.00271739130435,5000,CAR,0.0,0.0
0.0,Matt,Car@Oak 04:25PM ET,7809648,McGloin,Matt McGloin,Matt McGloin (7809648),CAR,QB,0.0,0.0,0.0,0.0,5000,OAK,0.0,0.0
0.0,Connor,Car@Oak 04:25PM ET,7809650,Cook,Connor Cook,Connor Cook (7809650),CAR,QB,0.0,0.0,0.0,0.0,5000,OAK,0.0,0.0
21.6,Jonathan,Car@Oak 04:25PM ET,7809741,Stewart,Jonathan Stewart,Jonathan Stewart (7809741),OAK,RB,14.62,12.5,8.0,0.0326086956522,5000,CAR,4.0,0.0
