Actual,FirstName,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
11.6,Colin,NYJ@SF,5800,Kaepernick,Colin Kaepernick,Colin Kaepernick (1000000),NYJ,QB,0.0,18.7,9.75138806692,10.1933374982,0.0,0.0,5800,SF,4.0,0.0
13.3,Carson,ARI@MIA,5700,Palmer,Carson Palmer,Carson Palmer (1000000),MIA,QB,19.51,18.0,18.018385,18.7643791728,0.0,0.0,5700,ARI,5.0,0.0
8.4,Thomas,SEA@GB,5700,Rawls,Thomas Rawls,Thomas Rawls (1000000),GB,RB,7.43,12.0,9.54491119169,9.95060485839,8.0,0.031007752,5700,SEA,4.0,0.0
30.0,Emmanuel,DEN@TEN,5700,Sanders,Emmanuel Sanders,Emmanuel Sanders (1000000),TEN,WR,15.19,15.7,14.9076716829,15.5283222028,1.0,0.286764706,5700,DEN,4.0,0.0
16.3,Jarvis,ARI@MIA,5600,Landry,Jarvis Landry,Jarvis Landry (1000000),ARI,WR,16.02,13.3,14.0233825922,14.6009508887,1.0,0.284552846,5600,MIA,6.0,0.0
0.0,DeAngelo,PIT@BUF,5600,Williams,DeAngelo Williams,DeAngelo Williams (1000000),BUF,RB,19.66,3.4,10.4713679399,10.874775485,6.0,0.048832272,5600,PIT,0.0,0.0
0.0,Ryan,NYJ@SF,5600,Fitzpatrick,Ryan Fitzpatrick,Ryan Fitzpatrick (1000000),SF,QB,17.35,0.0,7.67634978915,7.96144497421,0.0,0.0,5600,NYJ,0.0,0.0
0.0,Jacquizz,NO@TB,5600,Rodgers,Jacquizz Rodgers,Jacquizz Rodgers (1000000),NO,RB,0.0,4.4,2.29444425104,2.39843235251,8.0,0.03125,5600,TB,0.0,0.0
5.7,Jamison,WAS@PHI,5600,Crowder,Jamison Crowder,Jamison Crowder (1000000),PHI,WR,7.73,14.2,10.8248655902,11.2874829074,2.0,0.172131148,5600,WAS,5.0,0.0
8.5,Eli,DAL@NYG,5500,Manning,Eli Manning,Eli Manning (1000000),DAL,QB,18.71,18.6,17.9773110335,18.7243398027,0.0,0.0,5500,NYG,4.0,0.0
0.0,Theo,CHI@DET,5500,Riddick,Theo Riddick,Theo Riddick (1000000),CHI,RB,11.1,0.0,4.91109410142,5.09348929186,4.0,0.156108597,5500,DET,0.0,0.0
23.4,Davante,SEA@GB,5500,Adams,Davante Adams,Davante Adams (1000000),SEA,WR,7.32,11.6,9.28765685058,9.68208953361,2.0,0.197580645,5500,GB,8.0,0.0
2.6,Jimmy,SEA@GB,5500,Graham,Jimmy Graham,Jimmy Graham (1000000),GB,TE,9.94,12.6,10.9683166374,11.4294348176,2.0,0.209302326,5500,SEA,2.0,0.0
15.9,Jordan,WAS@PHI,5400,Matthews,Jordan Matthews,Jordan Matthews (1000000),WAS,WR,13.9,16.6,14.8062410512,15.4269645857,1.0,0.204954955,5400,PHI,3.0,0.0
12.6,Jonathan,SD@CAR,5400,Stewart,Jonathan Stewart,Jonathan Stewart (1000000),SD,RB,13.11,11.6,11.8493897197,12.3389636777,7.0,0.037037037,5400,CAR,4.0,0.0
16.3,Tyrod,PIT@BUF,5400,Taylor,Tyrod Taylor,Tyrod Taylor (1000000),PIT,QB,18.86,16.8,17.1050408855,17.8119938676,0.0,0.0,5400,BUF,6.0,0.0
15.4,Sammy,PIT@BUF,5300,Watkins,Sammy Watkins,Sammy Watkins (1000000),PIT,WR,17.09,15.0,15.3832841902,16.0186119468,6.0,0.06162465,5300,BUF,4.0,0.0
4.7,Brock,HOU@IND,5300,Osweiler,Brock Osweiler,Brock Osweiler (1000000),IND,QB,16.36,15.2,15.1645952463,15.7926543755,14.0,0.002277904,5300,HOU,0.0,0.0
3.3,Mark,NO@TB,5300,Ingram,Mark Ingram,Mark Ingram (1000000),TB,RB,17.07,13.0,14.331506167,14.9192379648,5.0,0.081673307,5300,NO,4.0,0.0
3.4,DeVante,ARI@MIA,5300,Parker,DeVante Parker,DeVante Parker (1000000),ARI,WR,0.0,11.1,5.78825708785,6.05059070747,2.0,0.181571816,5300,MIA,8.0,0.0
5.7,Derrick,DEN@TEN,5200,Henry,Derrick Henry,Derrick Henry (1000000),DEN,RB,6.69,6.0,6.0887173032,6.340449334,9.0,0.027918782,5200,TEN,0.0,0.0
22.2,DeSean,WAS@PHI,5200,Jackson,DeSean Jackson,DeSean Jackson (1000000),PHI,WR,12.99,13.7,12.8913724758,13.4286052787,4.0,0.163934426,5200,WAS,6.0,0.0
19.8,Ryan,ARI@MIA,5200,Tannehill,Ryan Tannehill,Ryan Tannehill (1000000),ARI,QB,14.99,14.0,13.9326936766,14.5098805756,0.0,0.0,5200,MIA,0.0,0.0
15.2,Kenny,ATL@LA,5200,Britt,Kenny Britt,Kenny Britt (1000000),ATL,WR,8.1,13.9,10.8321293462,11.2937364052,1.0,0.225490196,5200,LA,6.0,0.0
8.1,Cole,DAL@NYG,5200,Beasley,Cole Beasley,Cole Beasley (1000000),NYG,WR,7.31,11.0,8.97035367997,9.35044184736,1.0,0.219512195,5200,DAL,8.0,0.0
14.5,Willie,NO@TB,5200,Snead,Willie Snead,Willie Snead (1000000),TB,WR,12.5,13.0,12.3095512081,12.8221887699,3.0,0.153386454,5200,NO,6.0,0.0
3.6,Rishard,DEN@TEN,5100,Matthews,Rishard Matthews,Rishard Matthews (1000000),DEN,WR,10.47,13.5,11.672128462,12.1632258952,3.0,0.185279188,5100,TEN,6.0,0.0
18.1,Carson,WAS@PHI,5100,Wentz,Carson Wentz,Carson Wentz (1000000),WAS,QB,15.51,15.9,15.1535456946,15.7841811861,0.0,0.0,5100,PHI,7.0,0.0
22.2,Lamar,HOU@IND,5100,Miller,Lamar Miller,Lamar Miller (1000000),IND,RB,18.88,13.0,15.1323242141,15.7497979304,5.0,0.08428246,5100,HOU,4.0,0.0
17.4,Sam,MIN@JAX,5100,Bradford,Sam Bradford,Sam Bradford (1000000),JAX,QB,0.0,14.7,7.66552965688,8.01294445043,13.0,0.002304147,5100,MIN,0.0,0.0
0.0,Tony,DAL@NYG,5100,Romo,Tony Romo,Tony Romo (1000000),NYG,QB,0.0,0.0,0.0,0.0,0.0,0.0,5100,DAL,0.0,0.0
20.4,Trevor,DEN@TEN,5100,Siemian,Trevor Siemian,Trevor Siemian (1000000),TEN,QB,15.28,16.3,15.2603701263,15.8966797217,0.0,0.0,5100,DEN,7.0,0.0
0.0,Landry,PIT@BUF,5000,Jones,Landry Jones,Landry Jones (1000000),BUF,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,PIT,0.0,0.0
0.0,EJ,PIT@BUF,5000,Manuel,EJ Manuel,EJ Manuel (1000000),PIT,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
0.0,Zach,PIT@BUF,5000,Mettenberger,Zach Mettenberger,Zach Mettenberger (1000000),BUF,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,PIT,0.0,0.0
0.0,Cardale,PIT@BUF,5000,Jones,Cardale Jones,Cardale Jones (1000000),PIT,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,BUF,0.0,0.0
0.0,Matt,DEN@TEN,5000,Cassel,Matt Cassel,Matt Cassel (1000000),DEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,TEN,0.0,0.0
0.0,Austin,DEN@TEN,5000,Davis,Austin Davis,Austin Davis (1000000),TEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
0.0,Paxton,DEN@TEN,5000,Lynch,Paxton Lynch,Paxton Lynch (1000000),TEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
0.0,Luke,NO@TB,5000,McCown,Luke McCown,Luke McCown (1000000),TB,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,NO,0.0,0.0
0.0,Mike,NO@TB,5000,Glennon,Mike Glennon,Mike Glennon (1000000),NO,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,TB,0.0,0.0
