"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Name.Clean","FreqInd","Actual","ValueWR","TierRank"
"WR","Marvin Jones Jr. (7395561)","Marvin Jones",7395561,5500,"Ten@Det 01:00PM ET","Det","Marvin","Jones","Ten",15.23,15,14.73,15,1,0.289473684210526,15.8059385062541,NA,"Marvin Jones",0,22.8,0,4
"RB","Thomas Rawls (7395442)","Thomas Rawls",7395442,5500,"Sea@LA 04:05PM ET","Sea","Thomas","Rawls","LA",13.39,11.2,15.77,11.2,5,0.0697674418604651,12.9256826390433,NA,"Thomas Rawls",0,3.8,0,6
"WR","Mohamed Sanu (7395613)","Mohamed Sanu",7395613,5500,"Atl@Oak 04:25PM ET","Atl","Mohamed","Sanu","Oak",12.29,10,11.08,10,1,0.210526315789474,11.7271411461946,NA,"Mohamed Sanu",1,4.9,0,5
"RB","Jonathan Stewart (7395365)","Jonathan Stewart",7395365,5400,"SF@Car 01:00PM ET","Car","Jonathan","Stewart","SF",15.39,12.8,14.02,12.8,4,0.0625,14.8207361054167,NA,"Jonathan Stewart",0,3.6,0,5
"WR","Allen Hurns (7395602)","Allen Hurns",7395602,5400,"Jax@SD 04:25PM ET","Jax","Allen","Hurns","SD",15.36,12.6,11.79,12.6,3,0.128205128205128,14.7063661559323,NA,"Allen Hurns",0,11.4,0,5
"QB","Robert Griffin III (7395332)","Robert Griffin III",7395332,5300,"Bal@Cle 01:00PM ET","Cle","Robert","Griffin III","Bal",0,0,0,0,0,0,0,NA,"Robert Griffin III",0,0,0,0
"WR","John Brown (7395592)","John Brown",7395592,5300,"TB@Ari 04:05PM ET","Ari","John","Brown","TB",11.84,11.8,12.74,11.8,4,0.128205128205128,12.3555231990777,NA,"John Brown",0,2.4,0,5
"WR","Sterling Shepard (7395530)","Sterling Shepard",7395530,5200,"NO@NYG 01:00PM ET","NYG","Sterling","Shepard","NO",13.36,13.3,12.42,13.3,4,0.107142857142857,13.9344464351511,NA,"Sterling Shepard",0,22.7,0,4
"RB","Danny Woodhead (7395455)","Danny Woodhead",7395455,5200,"Jax@SD 04:25PM ET","SD","Danny","Woodhead","Jax",15.82,0,16.73,0,2,0.205128205128205,8.80970740413716,NA,"Danny Woodhead",1,4.1,0,0
"QB","Trevor Siemian (7395357)","Trevor Siemian",7395357,5200,"Ind@Den 04:25PM ET","Den","Trevor","Siemian","Ind",14.3,12.4,14.59,12.4,0,0,14.0184185435995,NA,"Trevor Siemian",0,12.3,0,0
"RB","Carlos Hyde (7395369)","Carlos Hyde",7395369,5100,"SF@Car 01:00PM ET","SF","Carlos","Hyde","Car",14.17,11.8,12.94,11.8,5,0.0769230769230769,13.6530338344531,NA,"Carlos Hyde",1,7.2,0,6
"QB","Case Keenum (7395334)","Case Keenum",7395334,5100,"Sea@LA 04:05PM ET","LA","Case","Keenum","Sea",10.85,9.3,10.24,9.3,0,0,10.5834228473657,NA,"Case Keenum",0,10.1,0,0
"WR","Stefon Diggs (7395640)","Stefon Diggs",7395640,5100,"GB@Min 08:30PM ET","Min","Stefon","Diggs","GB",15.54,10.3,13.53,10.3,1,0.264705882352941,13.6834692834591,NA,"Stefon Diggs",1,36.2,0,5
"QB","Derek Anderson (7395290)","Derek Anderson",7395290,5000,"SF@Car 01:00PM ET","Car","Derek","Anderson","SF",0,0,0,0,0,0,0,NA,"Derek Anderson",0,0,0,0
"QB","Joe Webb (7395291)","Joe Webb",7395291,5000,"SF@Car 01:00PM ET","Car","Joe","Webb","SF",0,0,0,0,9,0,0,NA,"Joe Webb",0,0,0,0
"QB","Colin Kaepernick (7395292)","Colin Kaepernick",7395292,5000,"SF@Car 01:00PM ET","SF","Colin","Kaepernick","Car",0,2,0,2,0,0,0.97663803964543,NA,"Colin Kaepernick",0,0,0,0
"QB","Christian Ponder (7395293)","Christian Ponder",7395293,5000,"SF@Car 01:00PM ET","SF","Christian","Ponder","Car",0,0,0,0,0,0,0,NA,"Christian Ponder",0,0,0,0
"QB","Blaine Gabbert (7395295)","Blaine Gabbert",7395295,5000,"SF@Car 01:00PM ET","SF","Blaine","Gabbert","Car",13.51,12.5,13.11,12.5,8,0.0256410256410256,13.6273219468922,NA,"Blaine Gabbert",0,22.7,0,0
"QB","Mark Sanchez (7395297)","Mark Sanchez",7395297,5000,"Dal@Was 01:00PM ET","Dal","Mark","Sanchez","Was",0,1.5,0,1.5,0,0,0.732478529734073,NA,"Mark Sanchez",0,0,0,0
"QB","Colt McCoy (7395298)","Colt McCoy",7395298,5000,"Dal@Was 01:00PM ET","Was","Colt","McCoy","Dal",0,0,0,0,0,0,0,NA,"Colt McCoy",0,0,0,0
"QB","Nate Sudfeld (7395301)","Nate Sudfeld",7395301,5000,"Dal@Was 01:00PM ET","Was","Nate","Sudfeld","Dal",0,0,0,0,0,0,0,NA,"Nate Sudfeld",0,0,0,0
"QB","Landry Jones (7395304)","Landry Jones",7395304,5000,"Cin@Pit 01:00PM ET","Pit","Landry","Jones","Cin",0,0,0,0,0,0,0,NA,"Landry Jones",0,0,0,0
"QB","Zach Mettenberger (7395305)","Zach Mettenberger",7395305,5000,"Cin@Pit 01:00PM ET","Pit","Zach","Mettenberger","Cin",0,0,0,0,0,0,0,NA,"Zach Mettenberger",0,0,0,0
"QB","AJ McCarron (7395306)","AJ McCarron",7395306,5000,"Cin@Pit 01:00PM ET","Cin","AJ","McCarron","Pit",0,0,0,0,0,0,0,NA,"AJ McCarron",0,0,0,0
"QB","Jeff Driskel (7395307)","Jeff Driskel",7395307,5000,"Cin@Pit 01:00PM ET","Cin","Jeff","Driskel","Pit",0,0,0,0,0,0,0,NA,"Jeff Driskel",0,0,0,0
