"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
76,935873282,"youdacao (20/24)",0,264.75,"UTIL Nikola Jokic SG Jimmy Butler PF Kevin Love PG Kris Dunn SF Denzel Valentine C Marcin Gortat G Malcolm Brogdon F Joe Ingles",NA,"Emmanuel Mudiay","G","0.13%",15.75
78,936207148,"dano6489 (1/2)",0,264.5,"C Karl-Anthony Towns SG Jimmy Butler PF Otto Porter G Dion Waiters SF Justin Holiday PG Ricky Rubio UTIL Willie Cauley-Stein F Markieff Morris",NA,"Raul Neto","UTIL","0.13%",4.5
79,935771601,"EmileHeskey (6/24)",0,264.25,"C Karl-Anthony Towns SG Jimmy Butler F Kevin Love PG Kris Dunn SF Denzel Valentine G Gary Harris PF Markieff Morris UTIL Tyson Chandler",NA,"Kosta Koufos","C","0.13%",12.25
79,936033871,"Multichem",0,264.25,"F Devin Booker SG Bradley Beal SF T.J. Warren PF Lauri Markkanen PG Kris Dunn UTIL Ricky Rubio C Willie Cauley-Stein G Frank Mason III",NA,"Jeff Teague","PG","0.13%",0
81,935771596,"EmileHeskey (1/24)",0,264,"SG Bradley Beal G Jimmy Butler C Kevin Love PG Eric Bledsoe SF Denzel Valentine F Justin Holiday UTIL Joe Ingles PF Markieff Morris",NA,"Marquese Chriss","PF","0.13%",12.5
81,935932530,"moklovin (6/20)",0,264,"SG Bradley Beal G Jimmy Butler C Kevin Love PG Eric Bledsoe UTIL Denzel Valentine SF Justin Holiday F Joe Ingles PF Markieff Morris",NA,"Justin Jackson","F","0.13%",1.25
81,936023643,"therealmccoy2984 (1/3)",0,264,"UTIL Bradley Beal F T.J. Warren PF Kevin Love PG Eric Bledsoe G Donovan Mitchell SF Otto Porter C Willie Cauley-Stein SG Frank Mason III",NA,"","","",NA
81,936128796,"Kobe4MVP (13/24)",0,264,"UTIL Karl-Anthony Towns G Jimmy Butler PF Kevin Love SG Eric Bledsoe F Denzel Valentine C Robin Lopez SF Joe Ingles PG Tim Frazier",NA,"","","",NA
85,936128798,"Kobe4MVP (15/24)",0,263.75,"C Karl-Anthony Towns G Bradley Beal SG Jimmy Butler PG Eric Bledsoe SF Justin Holiday UTIL Marcin Gortat F Josh Richardson PF Kenneth Faried",NA,"","","",NA
85,936267470,"rikkidee (1/15)",0,263.75,"C Nikola Jokic PF Kevin Love SG Donovan Mitchell F Will Barton UTIL Derrick Favors SF Justin Holiday G Ricky Rubio PG Tim Frazier",NA,"","","",NA
85,936426303,"ncstyle23",0,263.75,"UTIL Devin Booker PF Kevin Love G Eric Bledsoe SF Otto Porter F Will Barton SG Denzel Valentine C Willie Cauley-Stein PG Jerian Grant",NA,"","","",NA
88,935805705,"Danksta14 (1/3)",0,263.5,"PF LeBron James G Devin Booker SF Otto Porter UTIL James Johnson C Willie Cauley-Stein PG Mike James SG Tyus Jones F Kenneth Faried",NA,"","","",NA
88,936407711,"Jimpie",0,263.5,"F LeBron James SG Eric Bledsoe G Donovan Mitchell PF Otto Porter SF Denzel Valentine UTIL Justin Holiday PG Tim Frazier C Kenneth Faried",NA,"","","",NA
90,936128785,"Kobe4MVP (2/24)",0,263,"C Nikola Jokic SG Jimmy Butler PF T.J. Warren SF Otto Porter G Justin Holiday PG Ricky Rubio UTIL Marcin Gortat F Kenneth Faried",NA,"","","",NA
91,936425665,"mavngoose",0,262.75,"F LeBron James G Eric Bledsoe SF Otto Porter SG Justin Holiday PG Ricky Rubio PF Willie Cauley-Stein C Marcin Gortat UTIL Markieff Morris",NA,"","","",NA
92,936235398,"5321233pp",0,262.5,"C Nikola Jokic SG Bradley Beal PF Kevin Love UTIL Lauri Markkanen F Derrick Favors G Justin Holiday PG Tim Frazier SF Juancho Hernangómez",NA,"","","",NA
93,935781744,"brianlefevre (4/15)",0,262,"SG Bradley Beal G Jimmy Butler PF Kevin Love UTIL Eric Bledsoe F Denzel Valentine PG Ricky Rubio C Robin Lopez SF Joe Ingles",NA,"","","",NA
94,936267484,"rikkidee (15/15)",0,261.75,"C Nikola Jokic G Devin Booker PF Kevin Love SF Otto Porter F Derrick Favors UTIL Willie Cauley-Stein SG George Hill PG Tim Frazier",NA,"","","",NA
95,935724494,"ChipotleAddict (9/24)",0,261.25,"C Karl-Anthony Towns SG Jimmy Butler PF Kevin Love G Eric Bledsoe PG Donovan Mitchell F Joe Ingles SF Markieff Morris UTIL Garrett Temple",NA,"","","",NA
96,936064024,"Shooter-McGavin (2/2)",0,261,"F Giannis Antetokounmpo G Eric Bledsoe SG Kris Dunn PF James Johnson SF Denzel Valentine UTIL Ricky Rubio C Willie Cauley-Stein PG Tim Frazier",NA,"","","",NA
96,936267478,"rikkidee (9/15)",0,261,"C Nikola Jokic PF T.J. Warren SG Donovan Mitchell F Otto Porter UTIL Derrick Favors SF Justin Holiday G Gary Harris PG Tim Frazier",NA,"","","",NA
98,935798583,"Awesemo (15/24)",0,260.75,"SF LeBron James UTIL Karl-Anthony Towns PG Eric Bledsoe G Ricky Rubio C Marcin Gortat SG Malcolm Brogdon PF Kenneth Faried F Juancho Hernangómez",NA,"","","",NA
98,935825847,"treferg33",0,260.75,"C Nikola Jokic G Devin Booker SG Jimmy Butler F Derrick Favors PG Kris Dunn PF Zach Randolph SF Markieff Morris UTIL Ekpe Udoh",NA,"","","",NA
98,935897311,"scout326 (2/12)",0,260.75,"C Karl-Anthony Towns UTIL Nikola Jokic PF Kevin Love F Derrick Favors SG Denzel Valentine PG Ricky Rubio SF Markieff Morris G Frank Mason III",NA,"","","",NA
98,935955919,"pianoclub (5/24)",0,260.75,"C Karl-Anthony Towns PF Kevin Love PG Donovan Mitchell SF Otto Porter SG Denzel Valentine G Justin Holiday UTIL Marcin Gortat F Markieff Morris",NA,"","","",NA
102,935932542,"moklovin (18/20)",0,260,"C Nikola Jokic PF Kevin Love PG Eric Bledsoe G Donovan Mitchell SF Will Barton SG Justin Holiday UTIL Willie Cauley-Stein F Kenneth Faried",NA,"","","",NA
103,936070121,"RexGrossman (6/10)",0,259.75,"SF LeBron James UTIL Giannis Antetokounmpo PF Otto Porter SG Denzel Valentine F Willie Cauley-Stein C Kenneth Faried PG Garrett Temple G Frank Mason III",NA,"","","",NA
104,935781755,"brianlefevre (13/15)",0,259.25,"C Nikola Jokic SG Jimmy Butler PF Lauri Markkanen PG Eric Bledsoe SF Justin Holiday G Gary Harris UTIL Robin Lopez F Joe Ingles",NA,"","","",NA
104,935818304,"Dizzy_D",0,259.25,"UTIL Giannis Antetokounmpo C Nikola Jokic SG Eric Bledsoe PF Derrick Favors F Willie Cauley-Stein SF Markieff Morris PG Tyus Jones G Frank Mason III",NA,"","","",NA
104,936101304,"cheddabisque (18/24)",0,259.25,"F Giannis Antetokounmpo C Kevin Love PG Eric Bledsoe G Rodney Hood SF Denzel Valentine SG Justin Holiday UTIL Tim Frazier PF Kenneth Faried",NA,"","","",NA
