"Name","teamAbbrev","Opponent","Game","Position","Salary","Proj_dfn","Proj_bbm","Proj_rotogrinders","Proj_rotowire","Batting_Order_Confirmed"
"Jose Altuve","HOU","OAK","HOU OAK","2B",5300,"8.2","9.9","9.62","8.7","3"
"Bryce Harper","WAS","NYM","NYM WAS","OF",5300,"8.6","8.59","8.4","9.3","3"
"Robinson Cano","SEA","CLE","CLE SEA","2B",5200,"9.2","8.9","8.75","9.2","3"
"Ryan Zimmerman","WAS","NYM","NYM WAS","1B",5200,"5.8","6.67","6.0","5.7","4"
"Eric Thames","MIL","ATL","ATL MIL","1B",5100,"11.4","9.43","9.28","7.5","2"
"Ryan Braun","MIL","ATL","ATL MIL","OF",5100,"8.6","10.17","8.95","8.4","3"
"Carlos Correa","HOU","OAK","HOU OAK","SS",5100,"7.8","8.2","9.29","8.4","4"
"Edwin Encarnacion","CLE","SEA","CLE SEA","1B",5000,"9.5","9.52","8.96","7.7","4"
"Nelson Cruz","SEA","CLE","CLE SEA","OF",5000,"10.2","8.9","8.99","7.8","4"
"Michael Brantley","CLE","SEA","CLE SEA","OF",5000,"9.9","10.06","8.53","7.7","3"
"Manny Machado","BAL","NYY","BAL NYY","3B",5000,"8.2","8.67","10.04","8.9","3"
"Carlos Santana","CLE","SEA","CLE SEA","1B/OF",4900,"10.1","9.58","8.23","7.9","1"
"Jason Kipnis","CLE","SEA","CLE SEA","2B",4900,"8.4","8.14","7.22","7.8","6"
"Kyle Seager","SEA","CLE","CLE SEA","3B",4900,"8.3","7.7","7.39","8.8","5"
"Jean Segura","SEA","CLE","CLE SEA","SS",4900,"9.6","8.84","7.36","7.6","1"
"George Springer","HOU","OAK","HOU OAK","OF",4900,"8.0","9.12","9.4","8.0","1"
"Francisco Lindor","CLE","SEA","CLE SEA","SS",4800,"9.7","10.0","8.89","8.0","2"
"Brian Dozier","MIN","KC","KC MIN","2B",4800,"8.0","9.0","8.07","8.4","1"
"Joey Votto","CIN","STL","CIN STL","1B",4800,"7.9","8.44","9.61","9.2","3"
"Matt Kemp","ATL","MIL","ATL MIL","OF",4800,"8.3","8.73","7.5","7.5","4"
"Giancarlo Stanton","MIA","PIT","MIA PIT","OF",4800,"8.6","9.05","7.24","7.8","4"
"Dexter Fowler","STL","CIN","CIN STL","OF",4700,"7.9","8.36","8.42","7.2","1"
"Jonathan Villar","MIL","ATL","ATL MIL","2B",4700,"9.7","9.9","7.92","8.5","1"
"Trea Turner","WAS","NYM","NYM WAS","SS",4700,"7.8","8.59","7.05","9.7","1"
"Daniel Murphy","WAS","NYM","NYM WAS","2B",4600,"7.1","6.9","7.11","8.2","5"
"Jose Ramirez","CLE","SEA","CLE SEA","2B/3B",4500,"9.0","8.79","8.05","7.0","5"
"Matt Carpenter","STL","CIN","CIN STL","1B",4500,"8.5","8.88","9.19","8.0","3"
"Mark Trumbo","BAL","NYY","BAL NYY","OF",4500,"7.5","8.15","8.57","7.6","4"
"Ender Inciarte","ATL","MIL","ATL MIL","OF",4500,"9.4","8.06","6.09","6.8","1"
"Christian Yelich","MIA","PIT","MIA PIT","OF",4500,"8.7","8.71","7.7","8.3","3"
"Ian Kinsler","DET","CWS","CWS DET","2B",4400,"7.1","8.59","7.49","7.7","1"
"Todd Frazier","CWS","DET","CWS DET","3B",4400,"7.3","7.91","8.22","8.0","5"
"Jose Bautista","TOR","TB","TB TOR","OF",4400,"8.4","7.65","6.64","7.8","2"
"Aledmys Diaz","STL","CIN","CIN STL","SS",4400,"9.1","8.85","8.04","7.3","2"
"Stephen Piscotty","STL","CIN","CIN STL","OF",4400,"7.6","7.88","7.92","7.4","5"
"Adam Jones","BAL","NYY","BAL NYY","OF",4400,"7.5","8.16","8.12","7.4","2"
"Dee Gordon","MIA","PIT","MIA PIT","2B",4400,"8.4","9.0","7.19","7.8","1"
"Andrew McCutchen","PIT","MIA","MIA PIT","OF",4400,"8.2","8.31","7.71","7.8","3"
"Miguel Sano","MIN","KC","KC MIN","3B",4300,"7.6","8.32","7.42","7.7","3"
"Nick Markakis","ATL","MIL","ATL MIL","OF",4300,"8.6","6.94","6.6","6.7","5"
"Gregory Polanco","PIT","MIA","MIA PIT","OF",4300,"8.1","8.03","8.04","7.7","4"
"Jose Abreu","CWS","DET","CWS DET","1B",4200,"7.2","8.12","7.73","7.3","4"
"Justin Upton","DET","CWS","CWS DET","OF",4200,"7.1","8.16","7.68","7.6","5"
"Adam Duvall","CIN","STL","CIN STL","OF",4200,"6.9","7.44","7.18","7.2","4"
"Evan Gattis","HOU","OAK","HOU OAK","C",4200,"6.5","1.85","6.15","1.8","7"
"Evan Longoria","TB","TOR","TB TOR","3B",4100,"7.1","7.75","7.33","7.9","3"
"Billy Hamilton","CIN","STL","CIN STL","OF",4100,"8.4","8.3","7.15","8.3","1"
"Keon Broxton","MIL","ATL","ATL MIL","OF",4100,"6.5","7.48","4.88","6.1","7"
"Curtis Granderson","NYM","WAS","NYM WAS","OF",4100,"7.4","6.58","6.47","7.1","5"
"Lorenzo Cain","KC","MIN","KC MIN","OF",4000,"7.3","8.89","7.04","7.6","3"
